l3_index_code,股票代码,股票简称,纳入时间,申万3级
850925.SI,603109.SH,神驰机电,2021-12-13,其他汽车零部件
850925.SI,603197.SH,保隆科技,2021-12-13,其他汽车零部件
850925.SI,603239.SH,浙江仙通,2021-12-13,其他汽车零部件
850925.SI,603348.SH,文灿股份,2021-12-13,其他汽车零部件
850925.SI,603358.SH,华达科技,2021-12-13,其他汽车零部件
850925.SI,603655.SH,朗博科技,2021-12-13,其他汽车零部件
850925.SI,603768.SH,常青股份,2021-12-13,其他汽车零部件
850925.SI,603917.SH,合力科技,2021-12-13,其他汽车零部件
850925.SI,603922.SH,ST金鸿顺,2021-12-13,其他汽车零部件
850925.SI,605018.SH,长华集团,2021-12-13,其他汽车零部件
850925.SI,605319.SH,无锡振华,2021-12-13,其他汽车零部件
850925.SI,688021.SH,奥福科技,2021-12-13,其他汽车零部件
850925.SI,688737.SH,中自科技,2021-12-13,其他汽车零部件
850925.SI,301186.SZ,超达装备,2021-12-23,其他汽车零部件
850925.SI,301181.SZ,标榜股份,2022-02-21,其他汽车零部件
850925.SI,301298.SZ,东利机械,2022-06-06,其他汽车零部件
850925.SI,301233.SZ,盛帮股份,2022-07-06,其他汽车零部件
850925.SI,603211.SH,晋拓股份,2022-07-25,其他汽车零部件
850925.SI,002190.SZ,成飞集成,2022-08-01,其他汽车零部件
850925.SI,002547.SZ,*ST春兴,2022-08-01,其他汽车零部件
850925.SI,002965.SZ,祥鑫科技,2022-08-01,其他汽车零部件
850925.SI,002976.SZ,瑞玛精密,2022-08-01,其他汽车零部件
850925.SI,300237.SZ,ST美晨,2022-08-01,其他汽车零部件
850925.SI,300969.SZ,恒帅股份,2022-08-01,其他汽车零部件
850925.SI,603190.SH,亚通精工,2023-02-17,其他汽车零部件
850925.SI,001311.SZ,多利科技,2023-02-27,其他汽车零部件
850925.SI,603119.SH,浙江荣泰,2023-08-01,其他汽车零部件
850925.SI,603201.SH,常润股份,2024-07-31,其他汽车零部件
850925.SI,301613.SZ,新铝时代,2024-10-25,其他汽车零部件
850925.SI,301535.SZ,浙江华远,2025-03-27,其他汽车零部件
850925.SI,603210.SH,泰鸿万立,2025-04-09,其他汽车零部件
850925.SI,002765.SZ,蓝黛科技,2025-08-13,其他汽车零部件
850925.SI,603352.SH,至信股份,2026-01-15,其他汽车零部件
850925.SI,301680.SZ,固德电材,2026-03-06,其他汽车零部件
850925.SI,000887.SZ,中鼎股份,2021-12-13,其他汽车零部件
850926.SI,002239.SZ,奥特佳,2021-12-13,汽车电子电气系统
850926.SI,002454.SZ,松芝股份,2021-12-13,汽车电子电气系统
850926.SI,002664.SZ,信质集团,2021-12-13,汽车电子电气系统
850926.SI,002766.SZ,索菱股份,2021-12-13,汽车电子电气系统
850926.SI,002813.SZ,路畅科技,2021-12-13,汽车电子电气系统
850926.SI,002906.SZ,华阳集团,2021-12-13,汽车电子电气系统
850926.SI,300304.SZ,云意电气,2021-12-13,汽车电子电气系统
850926.SI,300681.SZ,英搏尔,2021-12-13,汽车电子电气系统
850926.SI,300863.SZ,卡倍亿,2021-12-13,汽车电子电气系统
850926.SI,300928.SZ,华安鑫创,2021-12-13,汽车电子电气系统
850926.SI,301221.SZ,光庭信息,2021-12-13,汽车电子电气系统
850926.SI,600699.SH,均胜电子,2021-12-13,汽车电子电气系统
850926.SI,603023.SH,威帝股份,2021-12-13,汽车电子电气系统
850926.SI,603179.SH,新泉股份,2021-12-13,汽车电子电气系统
850926.SI,603390.SH,通达电气,2021-12-13,汽车电子电气系统
850926.SI,603786.SH,科博达,2021-12-13,汽车电子电气系统
850926.SI,605005.SH,合兴股份,2021-12-13,汽车电子电气系统
850926.SI,605333.SH,沪光股份,2021-12-13,汽车电子电气系统
850926.SI,688533.SH,上声电子,2021-12-13,汽车电子电气系统
850926.SI,688667.SH,菱电电控,2021-12-13,汽车电子电气系统
850926.SI,000901.SZ,航天科技,2022-08-01,汽车电子电气系统
850926.SI,002870.SZ,香山股份,2022-08-01,汽车电子电气系统
850926.SI,300745.SZ,欣锐科技,2022-08-01,汽车电子电气系统
850926.SI,301310.SZ,鑫宏业,2023-06-02,汽车电子电气系统
850926.SI,301488.SZ,豪恩汽电,2023-07-04,汽车电子电气系统
850926.SI,301499.SZ,维科精密,2023-07-21,汽车电子电气系统
850926.SI,688612.SH,威迈斯,2023-07-26,汽车电子电气系统
850926.SI,002937.SZ,兴瑞科技,2024-07-31,汽车电子电气系统
850926.SI,600651.SH,飞乐音响,2024-07-31,汽车电子电气系统
850926.SI,301607.SZ,富特科技,2024-09-04,汽车电子电气系统
850926.SI,301631.SZ,壹连科技,2024-11-22,汽车电子电气系统
850926.SI,301581.SZ,黄山谷捷,2025-01-03,汽车电子电气系统
850926.SI,603202.SH,天有为,2025-04-24,汽车电子电气系统
850926.SI,301656.SZ,联合动力,2025-09-25,汽车电子电气系统
850926.SI,603376.SH,大明电子,2025-11-07,汽车电子电气系统
850926.SI,603293.SH,埃泰克,2026-04-16,汽车电子电气系统
850926.SI,001365.SZ,天海电子,2026-05-18,汽车电子电气系统
850926.SI,301655.SZ,绿控传动,2026-08-20,汽车电子电气系统
850926.SI,000980.SZ,众泰汽车,2021-12-13,汽车电子电气系统
850232.SI,600386.SH,北巴传媒,2021-12-13,汽车经销商
850232.SI,600653.SH,申华控股,2021-12-13,汽车经销商
850232.SI,600822.SH,上海物贸,2021-12-13,汽车经销商
850232.SI,600335.SH,国机汽车,2021-12-13,汽车经销商
850233.SI,300825.SZ,阿尔特,2021-12-13,汽车综合服务
850233.SI,601965.SH,中国汽研,2021-12-13,汽车综合服务
850233.SI,301215.SZ,中汽股份,2022-03-08,汽车综合服务
850233.SI,600676.SH,久事动娱,2024-07-31,汽车综合服务
850233.SI,000757.SZ,浩物股份,2021-12-13,汽车综合服务
858811.SI,300994.SZ,久祺股份,2021-12-13,其他运输设备
858811.SI,600099.SH,林海股份,2021-12-13,其他运输设备
858811.SI,600679.SH,上海凤凰,2021-12-13,其他运输设备
858811.SI,603529.SH,爱玛科技,2021-12-13,其他运输设备
858811.SI,600818.SH,ST中路,2022-08-01,其他运输设备
858811.SI,301322.SZ,绿通科技,2023-03-06,其他运输设备
858811.SI,603468.SH,津富士达,2026-08-06,其他运输设备
858811.SI,002105.SZ,信隆健康,2021-12-13,其他运输设备
858812.SI,003033.SZ,征和工业,2021-12-13,摩托车
858812.SI,601777.SH,千里科技,2021-12-13,摩托车
858812.SI,603129.SH,春风动力,2021-12-13,摩托车
858812.SI,603766.SH,隆鑫通用,2021-12-13,摩托车
858812.SI,603776.SH,永安行,2021-12-13,摩托车
858812.SI,603787.SH,新日股份,2021-12-13,摩托车
858812.SI,301345.SZ,涛涛车业,2023-03-20,摩托车
858812.SI,000913.SZ,钱江摩托,2021-12-13,摩托车
850951.SI,600733.SH,北汽蓝谷,2022-08-01,电动乘用车
850951.SI,601127.SH,赛力斯,2024-07-31,电动乘用车
850951.SI,002594.SZ,比亚迪,2021-12-13,电动乘用车
850952.SI,000625.SZ,长安汽车,2021-12-13,综合乘用车
850952.SI,600104.SH,上汽集团,2021-12-13,综合乘用车
850952.SI,601238.SH,广汽集团,2021-12-13,综合乘用车
850952.SI,601633.SH,长城汽车,2021-12-13,综合乘用车
850952.SI,000572.SZ,海马汽车,2021-12-13,综合乘用车
850912.SI,000800.SZ,一汽解放,2021-12-13,商用载货车
850912.SI,000951.SZ,中国重汽,2021-12-13,商用载货车
850912.SI,301039.SZ,中集车辆,2021-12-13,商用载货车
850912.SI,600006.SH,东风股份,2021-12-13,商用载货车
850912.SI,600166.SH,福田汽车,2021-12-13,商用载货车
850912.SI,600418.SH,江淮汽车,2021-12-13,商用载货车
850912.SI,600375.SH,汉马科技,2023-07-06,商用载货车
850912.SI,000550.SZ,江铃汽车,2021-12-13,商用载货车
850913.SI,000957.SZ,中通客车,2021-12-13,商用载客车
850913.SI,600066.SH,宇通客车,2021-12-13,商用载客车
850913.SI,600303.SH,曙光股份,2021-12-13,商用载客车
850913.SI,600686.SH,金龙汽车,2021-12-13,商用载客车
850913.SI,000868.SZ,安凯客车,2021-12-13,商用载客车
851112.SI,000651.SZ,格力电器,2021-12-13,空调
851112.SI,000921.SZ,海信家电,2021-12-13,空调
851112.SI,600854.SH,春兰股份,2026-07-02,空调
851112.SI,000333.SZ,美的集团,2021-12-13,空调
851116.SI,002668.SZ,TCL智家,2021-12-13,冰洗
851116.SI,600336.SH,澳柯玛,2021-12-13,冰洗
851116.SI,600690.SH,海尔智家,2021-12-13,冰洗
851116.SI,600983.SH,惠而浦,2021-12-13,冰洗
851116.SI,001387.SZ,雪祺电气,2024-01-11,冰洗
851116.SI,000016.SZ,*ST康佳A,2024-07-31,冰洗
851116.SI,000521.SZ,长虹美菱,2021-12-13,冰洗
851121.SI,600060.SH,海信视像,2021-12-13,彩电
851121.SI,600839.SH,四川长虹,2021-12-13,彩电
851121.SI,002848.SZ,高斯贝尔,2024-07-31,彩电
851121.SI,002429.SZ,兆驰股份,2021-12-13,彩电
851122.SI,000810.SZ,创维数字,2021-12-13,其他黑色家电
851122.SI,688609.SH,九联科技,2021-12-13,其他黑色家电
851122.SI,301578.SZ,辰奕智能,2023-12-28,其他黑色家电
851122.SI,688696.SH,极米科技,2024-07-31,其他黑色家电
851122.SI,000801.SZ,四川九洲,2021-12-13,其他黑色家电
851131.SI,002032.SZ,苏泊尔,2021-12-13,厨房小家电
851131.SI,002242.SZ,九阳股份,2021-12-13,厨房小家电
851131.SI,002403.SZ,爱仕达,2021-12-13,厨房小家电
851131.SI,002705.SZ,新宝股份,2021-12-13,厨房小家电
851131.SI,002959.SZ,小熊电器,2021-12-13,厨房小家电
851131.SI,300824.SZ,北鼎股份,2021-12-13,厨房小家电
851131.SI,603215.SH,比依股份,2022-02-18,厨房小家电
851131.SI,001259.SZ,利仁科技,2022-08-31,厨房小家电
851131.SI,002005.SZ,德豪润达,2021-12-13,厨房小家电
851132.SI,603355.SH,莱克电气,2021-12-13,清洁小家电
851132.SI,603486.SH,科沃斯,2021-12-13,清洁小家电
851132.SI,605555.SH,德昌股份,2021-12-13,清洁小家电
851132.SI,688169.SH,石头科技,2021-12-13,清洁小家电
851132.SI,301187.SZ,欧圣电气,2022-04-22,清洁小家电
851132.SI,301332.SZ,德尔玛,2023-05-18,清洁小家电
851132.SI,300272.SZ,开能健康,2024-05-22,清洁小家电
851132.SI,603219.SH,富佳股份,2021-12-13,清洁小家电
851133.SI,688793.SH,倍轻松,2021-12-13,个护小家电
851133.SI,003023.SZ,彩虹集团,2024-07-31,个护小家电
851133.SI,603868.SH,飞科电器,2021-12-13,个护小家电
851141.SI,002508.SZ,老板电器,2021-12-13,厨房电器
851141.SI,002677.SZ,浙江美大,2021-12-13,厨房电器
851141.SI,300894.SZ,火星人,2021-12-13,厨房电器
851141.SI,300911.SZ,亿田智能,2021-12-13,厨房电器
851141.SI,605336.SH,*ST帅电,2021-12-13,厨房电器
851141.SI,002035.SZ,华帝股份,2021-12-13,厨房电器
851142.SI,603366.SH,日出东方,2021-12-13,卫浴电器
851142.SI,603551.SH,奥普科技,2021-12-13,卫浴电器
851142.SI,002543.SZ,万和电气,2021-12-13,卫浴电器
851151.SI,002076.SZ,星光股份,2021-12-13,照明设备Ⅲ
851151.SI,002723.SZ,小崧股份,2021-12-13,照明设备Ⅲ
851151.SI,300625.SZ,三雄极光,2021-12-13,照明设备Ⅲ
851151.SI,600261.SH,阳光照明,2021-12-13,照明设备Ⅲ
851151.SI,603303.SH,得邦照明,2021-12-13,照明设备Ⅲ
851151.SI,603515.SH,欧普照明,2021-12-13,照明设备Ⅲ
