l3_index_code,l3_industry_code,l3_name,l2_code,l2_name,l1_code,l1_name,股票代码,ts_code,股票简称,纳入时间,申万3级
850151.SI,110501,果蔬加工,110500,农产品加工,110000,农林牧渔,605198.SH,605198.SH,安德利,2020-09-09,果蔬加工
850151.SI,110501,果蔬加工,110500,农产品加工,110000,农林牧渔,600962.SH,600962.SH,国投中鲁,2004-06-18,果蔬加工
850151.SI,110501,果蔬加工,110500,农产品加工,110000,农林牧渔,000972.SZ,000972.SZ,中基健康,2000-05-12,果蔬加工
850151.SI,110501,果蔬加工,110500,农产品加工,110000,农林牧渔,300175.SZ,300175.SZ,朗源股份,2011-01-27,果蔬加工
850151.SI,110501,果蔬加工,110500,农产品加工,110000,农林牧渔,600251.SH,600251.SH,冠农股份,2017-05-22,果蔬加工
850152.SI,110502,粮油加工,110500,农产品加工,110000,农林牧渔,000019.SZ,000019.SZ,深粮控股,2021-07-30,粮油加工
850152.SI,110502,粮油加工,110500,农产品加工,110000,农林牧渔,002852.SZ,002852.SZ,道道全,2017-02-24,粮油加工
850152.SI,110502,粮油加工,110500,农产品加工,110000,农林牧渔,300999.SZ,300999.SZ,金龙鱼,2020-09-21,粮油加工
850152.SI,110502,粮油加工,110500,农产品加工,110000,农林牧渔,600127.SH,600127.SH,金健米业,1998-05-06,粮油加工
850152.SI,110502,粮油加工,110500,农产品加工,110000,农林牧渔,000505.SZ,000505.SZ,京粮控股,2018-07-13,粮油加工
850152.SI,110502,粮油加工,110500,农产品加工,110000,农林牧渔,603231.SH,603231.SH,索宝蛋白,2023-12-01,粮油加工
850152.SI,110502,粮油加工,110500,农产品加工,110000,农林牧渔,603182.SH,603182.SH,嘉华股份,2022-08-26,粮油加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,001338.SZ,001338.SZ,永顺泰,2022-10-28,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,002086.SZ,002086.SZ,东方海洋,2026-07-01,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,003030.SZ,003030.SZ,祖名股份,2021-07-30,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,000911.SZ,000911.SZ,*ST广糖,1999-01-04,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,600737.SH,600737.SH,中粮糖业,2017-06-29,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,000930.SZ,000930.SZ,中粮科技,2011-01-10,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,002286.SZ,002286.SZ,保龄宝,2009-08-12,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,002481.SZ,002481.SZ,双塔食品,2021-07-30,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,300138.SZ,300138.SZ,晨光生物,2010-10-25,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,600191.SH,600191.SH,华资实业,1998-12-10,其他农产品加工
850154.SI,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔,300268.SZ,300268.SZ,佳沃食品,2011-10-10,其他农产品加工
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,002157.SZ,002157.SZ,正邦科技,2007-08-16,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,603717.SH,603717.SH,天域生物,2025-08-11,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,600975.SH,600975.SH,新五丰,2004-06-08,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,000735.SZ,000735.SZ,罗牛山,1997-06-11,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,000048.SZ,000048.SZ,京基智农,2025-08-11,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,002714.SZ,002714.SZ,牧原股份,2014-01-22,生猪养殖
