股票代码,股票简称,纳入时间,申万3级,l3_index_code
300149.SZ,睿智医药,2021-12-13,医疗研发外包,851563.SI
300347.SZ,泰格医药,2021-12-13,医疗研发外包,851563.SI
300363.SZ,博腾股份,2021-12-13,医疗研发外包,851563.SI
300404.SZ,博济医药,2021-12-13,医疗研发外包,851563.SI
300725.SZ,药石科技,2021-12-13,医疗研发外包,851563.SI
300759.SZ,康龙化成,2021-12-13,医疗研发外包,851563.SI
600721.SH,百花医药,2021-12-13,医疗研发外包,851563.SI
603127.SH,昭衍新药,2021-12-13,医疗研发外包,851563.SI
603259.SH,药明康德,2021-12-13,医疗研发外包,851563.SI
688202.SH,美迪西,2021-12-13,医疗研发外包,851563.SI
688222.SH,成都先导,2021-12-13,医疗研发外包,851563.SI
688621.SH,阳光诺和,2021-12-13,医疗研发外包,851563.SI
301096.SZ,百诚医药,2021-12-20,医疗研发外包,851563.SI
688265.SH,南模生物,2021-12-28,医疗研发外包,851563.SI
301201.SZ,诚达药业,2022-01-20,医疗研发外包,851563.SI
688238.SH,和元生物,2022-03-22,医疗研发外包,851563.SI
688046.SH,药康生物,2022-04-25,医疗研发外包,851563.SI
301257.SZ,普蕊斯,2022-05-17,医疗研发外包,851563.SI
688131.SH,皓元医药,2022-08-01,医疗研发外包,851563.SI
301333.SZ,诺思格,2022-08-02,医疗研发外包,851563.SI
688073.SH,毕得医药,2022-10-11,医疗研发外包,851563.SI
301230.SZ,泓博医药,2022-11-01,医疗研发外包,851563.SI
603456.SH,九洲药业,2023-07-06,医疗研发外包,851563.SI
301509.SZ,金凯生科,2023-08-03,医疗研发外包,851563.SI
301520.SZ,万邦医药,2023-09-22,医疗研发外包,851563.SI
300683.SZ,海特生物,2024-07-31,医疗研发外包,851563.SI
688710.SH,益诺思,2024-09-03,医疗研发外包,851563.SI
688796.SH,百奥赛图,2025-12-10,医疗研发外包,851563.SI
002821.SZ,凯莱英,2021-12-13,医疗研发外包,851563.SI
