股票代码,股票简称,纳入时间,申万3级,l3_index_code
000531.SZ,穗恒运A,2021-12-13,火力发电,851611.SI
000539.SZ,粤电力A,2021-12-13,火力发电,851611.SI
000543.SZ,皖能电力,2021-12-13,火力发电,851611.SI
000600.SZ,建投能源,2021-12-13,火力发电,851611.SI
000690.SZ,宝新能源,2021-12-13,火力发电,851611.SI
000767.SZ,晋控电力,2021-12-13,火力发电,851611.SI
000899.SZ,赣能股份,2021-12-13,火力发电,851611.SI
000966.SZ,长源电力,2021-12-13,火力发电,851611.SI
001896.SZ,豫能控股,2021-12-13,火力发电,851611.SI
002608.SZ,江苏国信,2021-12-13,火力发电,851611.SI
600011.SH,华能国际,2021-12-13,火力发电,851611.SI
600021.SH,上海电力,2021-12-13,火力发电,851611.SI
600023.SH,浙能电力,2021-12-13,火力发电,851611.SI
600027.SH,华电国际,2021-12-13,火力发电,851611.SI
600098.SH,广州发展,2021-12-13,火力发电,851611.SI
600396.SH,华电辽能,2021-12-13,火力发电,851611.SI
600509.SH,天富能源,2021-12-13,火力发电,851611.SI
600578.SH,京能电力,2021-12-13,火力发电,851611.SI
600642.SH,申能股份,2021-12-13,火力发电,851611.SI
600726.SH,华电能源,2021-12-13,火力发电,851611.SI
600744.SH,华银电力,2021-12-13,火力发电,851611.SI
600780.SH,通宝能源,2021-12-13,火力发电,851611.SI
600795.SH,国电电力,2021-12-13,火力发电,851611.SI
600863.SH,华能蒙电,2021-12-13,火力发电,851611.SI
601991.SH,大唐发电,2021-12-13,火力发电,851611.SI
000037.SZ,深南电A,2022-08-01,火力发电,851611.SI
001286.SZ,陕西能源,2023-05-08,火力发电,851611.SI
600575.SH,淮河能源,2026-07-02,火力发电,851611.SI
000027.SZ,深圳能源,2021-12-13,火力发电,851611.SI
