股票代码,股票简称,纳入时间,申万3级,l3_index_code
002291.SZ,遥望科技,2021-12-13,营销代理,857651.SI
002400.SZ,省广集团,2021-12-13,营销代理,857651.SI
002712.SZ,思美传媒,2021-12-13,营销代理,857651.SI
002995.SZ,天地在线,2021-12-13,营销代理,857651.SI
300058.SZ,蓝色光标,2021-12-13,营销代理,857651.SI
300061.SZ,旗天科技,2021-12-13,营销代理,857651.SI
300063.SZ,天龙集团,2021-12-13,营销代理,857651.SI
300071.SZ,福石控股,2021-12-13,营销代理,857651.SI
300242.SZ,佳云科技,2021-12-13,营销代理,857651.SI
300612.SZ,宣亚国际,2021-12-13,营销代理,857651.SI
300781.SZ,因赛集团,2021-12-13,营销代理,857651.SI
300805.SZ,电声股份,2021-12-13,营销代理,857651.SI
600358.SH,国旅联合,2021-12-13,营销代理,857651.SI
600556.SH,天下秀,2021-12-13,营销代理,857651.SI
600986.SH,浙文互联,2021-12-13,营销代理,857651.SI
603598.SH,引力传媒,2021-12-13,营销代理,857651.SI
603729.SH,ST龙韵,2021-12-13,营销代理,857651.SI
603825.SH,ST华扬,2021-12-13,营销代理,857651.SI
605168.SH,三人行,2021-12-13,营销代理,857651.SI
002878.SZ,元隆雅图,2022-08-01,营销代理,857651.SI
301171.SZ,易点天下,2022-08-19,营销代理,857651.SI
002354.SZ,天娱数科,2023-07-06,营销代理,857651.SI
002264.SZ,新华都,2023-12-11,营销代理,857651.SI
603602.SH,纵横通信,2026-03-06,营销代理,857651.SI
000676.SZ,智度股份,2021-12-13,营销代理,857651.SI
