股票代码,股票简称,纳入时间,申万3级,l3_index_code
001205.SZ,盛航股份,2021-12-13,航运,851761.SI
002320.SZ,海峡股份,2021-12-13,航运,851761.SI
600026.SH,中远海能,2021-12-13,航运,851761.SI
600179.SH,安通控股,2021-12-13,航运,851761.SI
600428.SH,中远海特,2021-12-13,航运,851761.SI
600798.SH,宁波海运,2021-12-13,航运,851761.SI
601866.SH,中远海发,2021-12-13,航运,851761.SI
601872.SH,招商轮船,2021-12-13,航运,851761.SI
601919.SH,中远海控,2021-12-13,航运,851761.SI
601975.SH,招商南油,2021-12-13,航运,851761.SI
603167.SH,渤海轮渡,2021-12-13,航运,851761.SI
603565.SH,中谷物流,2021-12-13,航运,851761.SI
603209.SH,兴通股份,2022-03-24,航运,851761.SI
601022.SH,宁波远洋,2022-12-08,航运,851761.SI
603162.SH,海通发展,2023-03-29,航运,851761.SI
601083.SH,锦江航运,2023-12-05,航运,851761.SI
600751.SH,海航科技,2024-07-31,航运,851761.SI
000520.SZ,凤凰航运,2021-12-13,航运,851761.SI
