股票代码,股票简称,纳入时间,申万3级,l3_index_code
000571.SZ,新大洲A,2021-12-13,动力煤,859511.SI
002128.SZ,电投能源,2021-12-13,动力煤,859511.SI
600121.SH,郑州煤电,2021-12-13,动力煤,859511.SI
600188.SH,兖矿能源,2021-12-13,动力煤,859511.SI
600403.SH,大有能源,2021-12-13,动力煤,859511.SI
600546.SH,山煤国际,2021-12-13,动力煤,859511.SI
600971.SH,恒源煤电,2021-12-13,动力煤,859511.SI
601001.SH,晋控煤业,2021-12-13,动力煤,859511.SI
601088.SH,中国神华,2021-12-13,动力煤,859511.SI
601101.SH,昊华能源,2021-12-13,动力煤,859511.SI
601225.SH,陕西煤业,2021-12-13,动力煤,859511.SI
601898.SH,中煤能源,2021-12-13,动力煤,859511.SI
601918.SH,新集能源,2021-12-13,动力煤,859511.SI
600925.SH,苏能股份,2023-03-29,动力煤,859511.SI
000552.SZ,甘肃能化,2021-12-13,动力煤,859511.SI
