股票代码,股票简称,纳入时间,申万3级,l3_index_code
000599.SZ,青岛双星,2021-12-13,轮胎轮毂,850924.SI
002085.SZ,万丰奥威,2021-12-13,轮胎轮毂,850924.SI
002355.SZ,兴民智通,2021-12-13,轮胎轮毂,850924.SI
002488.SZ,金固股份,2021-12-13,轮胎轮毂,850924.SI
002725.SZ,跃岭股份,2021-12-13,轮胎轮毂,850924.SI
002863.SZ,今飞凯达,2021-12-13,轮胎轮毂,850924.SI
002984.SZ,森麒麟,2021-12-13,轮胎轮毂,850924.SI
300428.SZ,立中集团,2021-12-13,轮胎轮毂,850924.SI
300652.SZ,雷迪克,2021-12-13,轮胎轮毂,850924.SI
300695.SZ,兆丰股份,2021-12-13,轮胎轮毂,850924.SI
600182.SH,S佳通,2021-12-13,轮胎轮毂,850924.SI
600469.SH,风神股份,2021-12-13,轮胎轮毂,850924.SI
601058.SH,赛轮轮胎,2021-12-13,轮胎轮毂,850924.SI
601163.SH,三角轮胎,2021-12-13,轮胎轮毂,850924.SI
601500.SH,通用股份,2021-12-13,轮胎轮毂,850924.SI
601966.SH,玲珑轮胎,2021-12-13,轮胎轮毂,850924.SI
603335.SH,迪生力,2021-12-13,轮胎轮毂,850924.SI
301539.SZ,宏鑫科技,2024-04-15,轮胎轮毂,850924.SI
603049.SH,中策橡胶,2025-06-05,轮胎轮毂,850924.SI
001233.SZ,海安集团,2025-11-25,轮胎轮毂,850924.SI
000589.SZ,贵州轮胎,2021-12-13,轮胎轮毂,850924.SI
