股票代码,股票简称,纳入时间,申万3级,l3_index_code
300213.SZ,佳讯飞鸿,2021-12-13,其他通信设备,851027.SI
300353.SZ,东土科技,2021-12-13,其他通信设备,851027.SI
300414.SZ,中光防雷,2021-12-13,其他通信设备,851027.SI
300711.SZ,广哈通信,2021-12-13,其他通信设备,851027.SI
600345.SH,长江通信,2021-12-13,其他通信设备,851027.SI
600776.SH,东方通信,2021-12-13,其他通信设备,851027.SI
688080.SH,映翰通,2021-12-13,其他通信设备,851027.SI
688418.SH,震有科技,2021-12-13,其他通信设备,851027.SI
688283.SH,坤恒顺维,2022-02-15,其他通信设备,851027.SI
301202.SZ,朗威股份,2023-07-05,其他通信设备,851027.SI
300183.SZ,东软载波,2021-12-13,其他通信设备,851027.SI
