股票代码,股票简称,纳入时间,申万3级,l3_index_code
000777.SZ,中核科技,2021-12-13,金属制品,850751.SI
002026.SZ,山东威达,2021-12-13,金属制品,850751.SI
002132.SZ,恒星科技,2021-12-13,金属制品,850751.SI
002164.SZ,宁波东力,2021-12-13,金属制品,850751.SI
002342.SZ,巨力索具,2021-12-13,金属制品,850751.SI
002347.SZ,泰尔股份,2021-12-13,金属制品,850751.SI
002438.SZ,江苏神通,2021-12-13,金属制品,850751.SI
002514.SZ,*ST宝馨,2021-12-13,金属制品,850751.SI
002633.SZ,申科股份,2021-12-13,金属制品,850751.SI
002795.SZ,永和智控,2021-12-13,金属制品,850751.SI
002843.SZ,泰嘉股份,2021-12-13,金属制品,850751.SI
002871.SZ,伟隆股份,2021-12-13,金属制品,850751.SI
002877.SZ,智能自控,2021-12-13,金属制品,850751.SI
002896.SZ,中大力德,2021-12-13,金属制品,850751.SI
002931.SZ,锋龙股份,2021-12-13,金属制品,850751.SI
300228.SZ,富瑞特装,2021-12-13,金属制品,850751.SI
300260.SZ,新莱应材,2021-12-13,金属制品,850751.SI
300402.SZ,宝色股份,2021-12-13,金属制品,850751.SI
300421.SZ,力星股份,2021-12-13,金属制品,850751.SI
300488.SZ,恒锋工具,2021-12-13,金属制品,850751.SI
300780.SZ,德恩精工,2021-12-13,金属制品,850751.SI
300817.SZ,双飞集团,2021-12-13,金属制品,850751.SI
300828.SZ,锐新科技,2021-12-13,金属制品,850751.SI
300838.SZ,浙江力诺,2021-12-13,金属制品,850751.SI
300885.SZ,海昌新材,2021-12-13,金属制品,850751.SI
300943.SZ,春晖智控,2021-12-13,金属制品,850751.SI
300946.SZ,恒而达,2021-12-13,金属制品,850751.SI
300985.SZ,致远新能,2021-12-13,金属制品,850751.SI
600114.SH,东睦股份,2021-12-13,金属制品,850751.SI
600558.SH,大西洋,2021-12-13,金属制品,850751.SI
600592.SH,龙溪股份,2021-12-13,金属制品,850751.SI
600860.SH,京城股份,2021-12-13,金属制品,850751.SI
600992.SH,贵绳股份,2021-12-13,金属制品,850751.SI
601002.SH,晋亿实业,2021-12-13,金属制品,850751.SI
601177.SH,杭齿前进,2021-12-13,金属制品,850751.SI
603028.SH,赛福天,2021-12-13,金属制品,850751.SI
603278.SH,大业股份,2021-12-13,金属制品,850751.SI
603308.SH,应流股份,2021-12-13,金属制品,850751.SI
603667.SH,五洲新春,2021-12-13,金属制品,850751.SI
603699.SH,纽威股份,2021-12-13,金属制品,850751.SI
603915.SH,国茂股份,2021-12-13,金属制品,850751.SI
603969.SH,银龙股份,2021-12-13,金属制品,850751.SI
605100.SH,华丰股份,2021-12-13,金属制品,850751.SI
688059.SH,华锐精密,2021-12-13,金属制品,850751.SI
688257.SH,新锐股份,2021-12-13,金属制品,850751.SI
688308.SH,欧科亿,2021-12-13,金属制品,850751.SI
688355.SH,明志科技,2021-12-13,金属制品,850751.SI
688379.SH,华光新材,2021-12-13,金属制品,850751.SI
301137.SZ,哈焊华通,2022-03-22,金属制品,850751.SI
301268.SZ,铭利达,2022-04-07,金属制品,850751.SI
301151.SZ,冠龙节能,2022-04-11,金属制品,850751.SI
002445.SZ,中南文化,2022-08-01,金属制品,850751.SI
301309.SZ,万得凯,2022-09-19,金属制品,850751.SI
301377.SZ,鼎泰高科,2022-11-22,金属制品,850751.SI
301368.SZ,丰立智能,2022-12-15,金属制品,850751.SI
301255.SZ,通力科技,2022-12-27,金属制品,850751.SI
002131.SZ,利欧股份,2023-07-06,金属制品,850751.SI
301261.SZ,恒工精密,2023-07-10,金属制品,850751.SI
603270.SH,金帝股份,2023-09-01,金属制品,850751.SI
301548.SZ,崇德科技,2023-09-20,金属制品,850751.SI
301559.SZ,中集环科,2023-10-11,金属制品,850751.SI
001306.SZ,夏厦精密,2023-11-16,金属制品,850751.SI
001379.SZ,腾达科技,2024-01-19,金属制品,850751.SI
301596.SZ,瑞迪智驱,2024-05-13,金属制品,850751.SI
300718.SZ,长盛轴承,2024-07-31,金属制品,850751.SI
603400.SH,华之杰,2025-06-20,金属制品,850751.SI
301160.SZ,翔楼新材,2026-07-02,金属制品,850751.SI
301307.SZ,美利信,2026-07-02,金属制品,850751.SI
600889.SH,*ST京化,2026-07-02,金属制品,850751.SI
301677.SZ,欣兴工具,2026-07-30,金属制品,850751.SI
000039.SZ,中集集团,2021-12-13,金属制品,850751.SI
