股票代码,股票简称,纳入时间,申万3级,l3_index_code
003036.SZ,泰坦股份,2021-12-13,纺织服装设备,850721.SI
300307.SZ,慈星股份,2021-12-13,纺织服装设备,850721.SI
301053.SZ,远信工业,2021-12-13,纺织服装设备,850721.SI
600232.SH,金鹰股份,2021-12-13,纺织服装设备,850721.SI
600302.SH,ST标准,2021-12-13,纺织服装设备,850721.SI
600545.SH,卓郎智能,2021-12-13,纺织服装设备,850721.SI
600843.SH,上工申贝,2021-12-13,纺织服装设备,850721.SI
603095.SH,越剑智能,2021-12-13,纺织服装设备,850721.SI
603337.SH,杰克科技,2021-12-13,纺织服装设备,850721.SI
688789.SH,宏华数科,2021-12-13,纺织服装设备,850721.SI
002722.SZ,物产金轮,2024-07-31,纺织服装设备,850721.SI
002021.SZ,中捷资源,2021-12-13,纺织服装设备,850721.SI
