股票代码,股票简称,纳入时间,申万3级,l3_index_code
002506.SZ,协鑫集成,2021-12-13,光伏电池组件,857352.SI
300118.SZ,东方日升,2021-12-13,光伏电池组件,857352.SI
300393.SZ,中来股份,2021-12-13,光伏电池组件,857352.SI
600537.SH,*ST亿晶,2021-12-13,光伏电池组件,857352.SI
600732.SH,爱旭股份,2021-12-13,光伏电池组件,857352.SI
688599.SH,天合光能,2021-12-13,光伏电池组件,857352.SI
688223.SH,晶科能源,2022-01-26,光伏电池组件,857352.SI
002865.SZ,钧达股份,2022-08-01,光伏电池组件,857352.SI
601012.SH,隆基绿能,2022-08-01,光伏电池组件,857352.SI
688472.SH,阿特斯,2023-06-09,光伏电池组件,857352.SI
688429.SH,时创能源,2023-06-29,光伏电池组件,857352.SI
002056.SZ,横店东磁,2023-07-06,光伏电池组件,857352.SI
300080.SZ,易成新能,2023-07-06,光伏电池组件,857352.SI
300051.SZ,琏升科技,2024-04-09,光伏电池组件,857352.SI
300093.SZ,金刚光伏,2024-07-31,光伏电池组件,857352.SI
301168.SZ,通灵股份,2024-07-31,光伏电池组件,857352.SI
301278.SZ,快可电子,2024-07-31,光伏电池组件,857352.SI
301636.SZ,泽润新能,2025-05-16,光伏电池组件,857352.SI
300716.SZ,*ST泉为,2025-08-13,光伏电池组件,857352.SI
301030.SZ,*ST仕净,2026-07-02,光伏电池组件,857352.SI
603778.SH,国晟科技,2026-07-02,光伏电池组件,857352.SI
002459.SZ,晶澳科技,2021-12-13,光伏电池组件,857352.SI
