股票代码,股票简称,纳入时间,申万3级,l3_index_code
000534.SZ,万泽股份,2021-12-13,其他生物制品,851524.SI
000661.SZ,长春高新,2021-12-13,其他生物制品,851524.SI
002581.SZ,*ST未名,2021-12-13,其他生物制品,851524.SI
300009.SZ,安科生物,2021-12-13,其他生物制品,851524.SI
300239.SZ,东宝生物,2021-12-13,其他生物制品,851524.SI
300357.SZ,我武生物,2021-12-13,其他生物制品,851524.SI
300485.SZ,赛升药业,2021-12-13,其他生物制品,851524.SI
600867.SH,通化东宝,2021-12-13,其他生物制品,851524.SI
603087.SH,甘李药业,2021-12-13,其他生物制品,851524.SI
603590.SH,康辰药业,2021-12-13,其他生物制品,851524.SI
688136.SH,科兴制药,2021-12-13,其他生物制品,851524.SI
688177.SH,百奥泰,2021-12-13,其他生物制品,851524.SI
688180.SH,君实生物,2021-12-13,其他生物制品,851524.SI
688278.SH,特宝生物,2021-12-13,其他生物制品,851524.SI
688336.SH,三生国健,2021-12-13,其他生物制品,851524.SI
688488.SH,艾迪药业,2021-12-13,其他生物制品,851524.SI
688520.SH,神州细胞,2021-12-13,其他生物制品,851524.SI
688687.SH,凯因科技,2021-12-13,其他生物制品,851524.SI
301166.SZ,优宁维,2021-12-28,其他生物制品,851524.SI
688163.SH,赛伦生物,2022-03-11,其他生物制品,851524.SI
688331.SH,荣昌生物,2022-03-31,其他生物制品,851524.SI
301047.SZ,义翘神州,2022-08-01,其他生物制品,851524.SI
301080.SZ,百普赛斯,2022-08-01,其他生物制品,851524.SI
688105.SH,诺唯赞,2022-08-01,其他生物制品,851524.SI
688293.SH,奥浦迈,2022-09-02,其他生物制品,851524.SI
688137.SH,近岸蛋白,2022-09-29,其他生物制品,851524.SI
688443.SH,智翔金泰,2023-06-20,其他生物制品,851524.SI
600211.SH,西藏药业,2023-07-06,其他生物制品,851524.SI
301393.SZ,昊帆生物,2023-07-12,其他生物制品,851524.SI
002773.SZ,康弘药业,2024-07-31,其他生物制品,851524.SI
688806.SH,泰诺麦博,2026-07-21,其他生物制品,851524.SI
000518.SZ,四环生物,2021-12-13,其他生物制品,851524.SI
