股票代码,股票简称,纳入时间,申万3级,l3_index_code
002542.SZ,*ST中岩,2021-12-13,其他专业工程,857244.SI
003001.SZ,中岩大地,2021-12-13,其他专业工程,857244.SI
300712.SZ,永福股份,2021-12-13,其他专业工程,857244.SI
301046.SZ,能辉科技,2021-12-13,其他专业工程,857244.SI
601068.SH,中铝国际,2021-12-13,其他专业工程,857244.SI
601226.SH,华电科工,2021-12-13,其他专业工程,857244.SI
601618.SH,中国中冶,2021-12-13,其他专业工程,857244.SI
603929.SH,亚翔集成,2021-12-13,其他专业工程,857244.SI
605289.SH,罗曼股份,2021-12-13,其他专业工程,857244.SI
605598.SH,上海港湾,2021-12-13,其他专业工程,857244.SI
300986.SZ,志特新材,2022-07-28,其他专业工程,857244.SI
000032.SZ,深桑达A,2022-08-01,其他专业工程,857244.SI
002323.SZ,*ST雅博,2022-08-01,其他专业工程,857244.SI
605178.SH,时空科技,2022-08-01,其他专业工程,857244.SI
603163.SH,圣晖集成,2022-10-13,其他专业工程,857244.SI
601133.SH,柏诚股份,2023-04-10,其他专业工程,857244.SI
002116.SZ,中国海诚,2021-12-13,其他专业工程,857244.SI
