股票代码,股票简称,纳入时间,申万3级,l3_index_code
002334.SZ,英威腾,2021-12-13,工控设备,850782.SI
002957.SZ,科瑞技术,2021-12-13,工控设备,850782.SI
002975.SZ,博杰股份,2021-12-13,工控设备,850782.SI
300048.SZ,合康新能,2021-12-13,工控设备,850782.SI
300083.SZ,创世纪,2021-12-13,工控设备,850782.SI
300124.SZ,汇川技术,2021-12-13,工控设备,850782.SI
300278.SZ,华昌达,2021-12-13,工控设备,850782.SI
300484.SZ,蓝海华腾,2021-12-13,工控设备,850782.SI
603015.SH,弘讯科技,2021-12-13,工控设备,850782.SI
603025.SH,大豪科技,2021-12-13,工控设备,850782.SI
603203.SH,快克智能,2021-12-13,工控设备,850782.SI
603283.SH,赛腾股份,2021-12-13,工控设备,850782.SI
603583.SH,捷昌驱动,2021-12-13,工控设备,850782.SI
605288.SH,凯迪股份,2021-12-13,工控设备,850782.SI
688160.SH,步科股份,2021-12-13,工控设备,850782.SI
688395.SH,正弦电气,2021-12-13,工控设备,850782.SI
688698.SH,伟创电气,2021-12-13,工控设备,850782.SI
688777.SH,中控技术,2021-12-13,工控设备,850782.SI
001266.SZ,宏英智能,2022-02-28,工控设备,850782.SI
688320.SH,禾川科技,2022-04-28,工控设备,850782.SI
688570.SH,天玛智控,2023-06-05,工控设备,850782.SI
301320.SZ,豪江智能,2023-06-09,工控设备,850782.SI
301510.SZ,固高科技,2023-08-15,工控设备,850782.SI
301418.SZ,协昌科技,2023-08-21,工控设备,850782.SI
603275.SH,众辰科技,2023-08-23,工控设备,850782.SI
301633.SZ,港迪技术,2024-11-07,工控设备,850782.SI
002184.SZ,海得控制,2021-12-13,工控设备,850782.SI
