股票代码,股票简称,纳入时间,申万3级,l3_index_code
603110.SH,东方材料,2017-09-25,涂料油墨,850335.SI
300225.SZ,金力泰,2011-01-24,涂料油墨,850335.SI
301683.SZ,慧谷新材,2026-03-23,涂料油墨,850335.SI
688129.SH,东来技术,2020-10-16,涂料油墨,850335.SI
301037.SZ,保立佳,2021-07-30,涂料油墨,850335.SI
300758.SZ,七彩化学,2019-01-24,涂料油墨,850335.SI
300665.SZ,飞鹿股份,2017-06-05,涂料油墨,850335.SI
603823.SH,百合花,2016-12-12,涂料油墨,850335.SI
301209.SZ,联合化学,2022-08-12,涂料油墨,850335.SI
002319.SZ,乐通股份,2009-01-23,涂料油墨,850335.SI
688571.SH,杭华股份,2020-11-25,涂料油墨,850335.SI
001335.SZ,信凯科技,2025-03-21,涂料油墨,850335.SI
301036.SZ,双乐股份,2021-07-12,涂料油墨,850335.SI
000565.SZ,渝三峡A,2011-01-10,涂料油墨,850335.SI
603062.SH,麦加芯彩,2023-10-27,涂料油墨,850335.SI
688157.SH,松井股份,2020-05-25,涂料油墨,850335.SI
300522.SZ,世名科技,2018-07-13,涂料油墨,850335.SI
