股票代码,股票简称,纳入时间,申万3级,l3_index_code
002444.SZ,巨星科技,2021-12-13,其他通用设备,850716.SI
002598.SZ,ST章鼓,2021-12-13,其他通用设备,850716.SI
002884.SZ,凌霄泵业,2021-12-13,其他通用设备,850716.SI
300091.SZ,*ST金灵,2021-12-13,其他通用设备,850716.SI
300126.SZ,锐奇股份,2021-12-13,其他通用设备,850716.SI
300145.SZ,南方泵业,2021-12-13,其他通用设备,850716.SI
300154.SZ,瑞凌股份,2021-12-13,其他通用设备,850716.SI
300193.SZ,佳士科技,2021-12-13,其他通用设备,850716.SI
300257.SZ,开山股份,2021-12-13,其他通用设备,850716.SI
300263.SZ,隆华科技,2021-12-13,其他通用设备,850716.SI
300420.SZ,五洋自控,2021-12-13,其他通用设备,850716.SI
300441.SZ,鲍斯股份,2021-12-13,其他通用设备,850716.SI
300470.SZ,中密控股,2021-12-13,其他通用设备,850716.SI
300503.SZ,昊志机电,2021-12-13,其他通用设备,850716.SI
300984.SZ,金沃股份,2021-12-13,其他通用设备,850716.SI
300992.SZ,泰福泵业,2021-12-13,其他通用设备,850716.SI
301028.SZ,鼎熔岩,2021-12-13,其他通用设备,850716.SI
301032.SZ,新柴股份,2021-12-13,其他通用设备,850716.SI
600243.SH,*ST海华,2021-12-13,其他通用设备,850716.SI
603090.SH,宏盛股份,2021-12-13,其他通用设备,850716.SI
603131.SH,上海沪工,2021-12-13,其他通用设备,850716.SI
603269.SH,海鸥股份,2021-12-13,其他通用设备,850716.SI
603331.SH,百达精工,2021-12-13,其他通用设备,850716.SI
603617.SH,君禾股份,2021-12-13,其他通用设备,850716.SI
603757.SH,大元泵业,2021-12-13,其他通用设备,850716.SI
605060.SH,联德股份,2021-12-13,其他通用设备,850716.SI
688360.SH,德马科技,2021-12-13,其他通用设备,850716.SI
688557.SH,兰剑智能,2021-12-13,其他通用设备,850716.SI
301107.SZ,瑜欣电子,2022-05-24,其他通用设备,850716.SI
301125.SZ,腾亚精工,2022-06-08,其他通用设备,850716.SI
600343.SH,航天动力,2022-08-01,其他通用设备,850716.SI
688333.SH,铂力特,2022-08-01,其他通用设备,850716.SI
688448.SH,磁谷科技,2022-09-21,其他通用设备,850716.SI
301273.SZ,瑞晨环保,2022-10-25,其他通用设备,850716.SI
301311.SZ,昆船智能,2022-11-30,其他通用设备,850716.SI
301317.SZ,鑫磊股份,2023-01-19,其他通用设备,850716.SI
688433.SH,华曙高科,2023-04-17,其他通用设备,850716.SI
301353.SZ,普莱得,2023-05-30,其他通用设备,850716.SI
301448.SZ,开创电气,2023-06-19,其他通用设备,850716.SI
002272.SZ,川润股份,2023-07-06,其他通用设备,850716.SI
300157.SZ,新锦动力,2023-07-06,其他通用设备,850716.SI
301468.SZ,博盈特焊,2023-07-24,其他通用设备,850716.SI
301616.SZ,浙江华业,2025-03-27,其他通用设备,850716.SI
603279.SH,景津装备,2025-04-11,其他通用设备,850716.SI
000880.SZ,潍柴重机,2026-07-02,其他通用设备,850716.SI
001696.SZ,宗申动力,2021-12-13,其他通用设备,850716.SI
