股票代码,股票简称,纳入时间,申万3级,l3_index_code
000596.SZ,古井贡酒,2021-12-13,白酒Ⅲ,851251.SI
000799.SZ,酒鬼酒,2021-12-13,白酒Ⅲ,851251.SI
000858.SZ,五粮液,2021-12-13,白酒Ⅲ,851251.SI
000860.SZ,顺鑫农业,2021-12-13,白酒Ⅲ,851251.SI
000995.SZ,皇台酒业,2021-12-13,白酒Ⅲ,851251.SI
002304.SZ,洋河股份,2021-12-13,白酒Ⅲ,851251.SI
002646.SZ,天佑德酒,2021-12-13,白酒Ⅲ,851251.SI
600197.SH,伊力特,2021-12-13,白酒Ⅲ,851251.SI
600199.SH,金种子酒,2021-12-13,白酒Ⅲ,851251.SI
600519.SH,贵州茅台,2021-12-13,白酒Ⅲ,851251.SI
600559.SH,老白干酒,2021-12-13,白酒Ⅲ,851251.SI
600702.SH,舍得酒业,2021-12-13,白酒Ⅲ,851251.SI
600779.SH,水井坊,2021-12-13,白酒Ⅲ,851251.SI
600809.SH,山西汾酒,2021-12-13,白酒Ⅲ,851251.SI
603198.SH,迎驾贡酒,2021-12-13,白酒Ⅲ,851251.SI
603369.SH,今世缘,2021-12-13,白酒Ⅲ,851251.SI
603589.SH,口子窖,2021-12-13,白酒Ⅲ,851251.SI
603919.SH,金徽酒,2021-12-13,白酒Ⅲ,851251.SI
000568.SZ,泸州老窖,2021-12-13,白酒Ⅲ,851251.SI
