股票代码,股票简称,纳入时间,申万3级,l3_index_code
000883.SZ,湖北能源,2021-12-13,电能综合服务,851610.SI
003035.SZ,南网能源,2021-12-13,电能综合服务,851610.SI
600101.SH,明星电力,2021-12-13,电能综合服务,851610.SI
600116.SH,三峡水利,2021-12-13,电能综合服务,851610.SI
600310.SH,广西能源,2021-12-13,电能综合服务,851610.SI
600452.SH,涪陵电力,2021-12-13,电能综合服务,851610.SI
600483.SH,福能股份,2021-12-13,电能综合服务,851610.SI
600505.SH,西昌电力,2021-12-13,电能综合服务,851610.SI
600644.SH,乐山电力,2021-12-13,电能综合服务,851610.SI
600969.SH,郴电国际,2021-12-13,电能综合服务,851610.SI
600979.SH,广安爱众,2021-12-13,电能综合服务,851610.SI
600995.SH,南网储能,2021-12-13,电能综合服务,851610.SI
300040.SZ,九洲集团,2024-07-31,电能综合服务,851610.SI
000631.SZ,顺发恒能,2026-07-02,电能综合服务,851610.SI
600157.SH,永泰能源,2026-07-02,电能综合服务,851610.SI
000875.SZ,电投绿能,2021-12-13,电能综合服务,851610.SI
