股票代码,股票简称,纳入时间,申万3级,l3_index_code
000672.SZ,上峰材料,2021-12-13,水泥制造,857111.SI
000789.SZ,万年青,2021-12-13,水泥制造,857111.SI
000877.SZ,天山股份,2021-12-13,水泥制造,857111.SI
002233.SZ,塔牌集团,2021-12-13,水泥制造,857111.SI
600326.SH,西藏天路,2021-12-13,水泥制造,857111.SI
600425.SH,青松建化,2021-12-13,水泥制造,857111.SI
600449.SH,宁夏建材,2021-12-13,水泥制造,857111.SI
600585.SH,海螺水泥,2021-12-13,水泥制造,857111.SI
600678.SH,ST金顶,2021-12-13,水泥制造,857111.SI
600801.SH,华新建材,2021-12-13,水泥制造,857111.SI
600802.SH,福建水泥,2021-12-13,水泥制造,857111.SI
601992.SH,金隅集团,2021-12-13,水泥制造,857111.SI
600668.SH,尖峰集团,2022-08-01,水泥制造,857111.SI
000401.SZ,金隅冀东,2021-12-13,水泥制造,857111.SI
