股票代码,股票简称,纳入时间,申万3级,l3_index_code
002883.SZ,*ST中设,2021-12-13,工程咨询服务Ⅲ,857261.SI
002949.SZ,华阳国际,2021-12-13,工程咨询服务Ⅲ,857261.SI
003013.SZ,地铁设计,2021-12-13,工程咨询服务Ⅲ,857261.SI
300284.SZ,苏交科,2021-12-13,工程咨询服务Ⅲ,857261.SI
300500.SZ,启迪设计,2021-12-13,工程咨询服务Ⅲ,857261.SI
300564.SZ,筑博设计,2021-12-13,工程咨询服务Ⅲ,857261.SI
300635.SZ,中达安,2021-12-13,工程咨询服务Ⅲ,857261.SI
300668.SZ,杰恩股份,2021-12-13,工程咨询服务Ⅲ,857261.SI
300675.SZ,建科院,2021-12-13,工程咨询服务Ⅲ,857261.SI
300732.SZ,设研院,2021-12-13,工程咨询服务Ⅲ,857261.SI
300746.SZ,汉嘉数智,2021-12-13,工程咨询服务Ⅲ,857261.SI
300778.SZ,新城市,2021-12-13,工程咨询服务Ⅲ,857261.SI
300826.SZ,测绘股份,2021-12-13,工程咨询服务Ⅲ,857261.SI
300844.SZ,山水比德,2021-12-13,工程咨询服务Ⅲ,857261.SI
300977.SZ,深圳瑞捷,2021-12-13,工程咨询服务Ⅲ,857261.SI
300983.SZ,尤安设计,2021-12-13,工程咨询服务Ⅲ,857261.SI
300989.SZ,蕾奥规划,2021-12-13,工程咨询服务Ⅲ,857261.SI
301024.SZ,霍普股份,2021-12-13,工程咨询服务Ⅲ,857261.SI
301027.SZ,华蓝集团,2021-12-13,工程咨询服务Ⅲ,857261.SI
301038.SZ,深水规院,2021-12-13,工程咨询服务Ⅲ,857261.SI
301058.SZ,中粮科工,2021-12-13,工程咨询服务Ⅲ,857261.SI
301091.SZ,深城交,2021-12-13,工程咨询服务Ⅲ,857261.SI
301167.SZ,建研设计,2021-12-13,工程咨询服务Ⅲ,857261.SI
600629.SH,华建集团,2021-12-13,工程咨询服务Ⅲ,857261.SI
603017.SH,中衡设计,2021-12-13,工程咨询服务Ⅲ,857261.SI
603018.SH,华设集团,2021-12-13,工程咨询服务Ⅲ,857261.SI
603357.SH,设计总院,2021-12-13,工程咨询服务Ⅲ,857261.SI
603458.SH,勘设股份,2021-12-13,工程咨询服务Ⅲ,857261.SI
603860.SH,中公高科,2021-12-13,工程咨询服务Ⅲ,857261.SI
603909.SH,建发合诚,2021-12-13,工程咨询服务Ⅲ,857261.SI
301136.SZ,招标股份,2022-01-11,工程咨询服务Ⅲ,857261.SI
600667.SH,太极实业,2022-08-01,工程咨询服务Ⅲ,857261.SI
301365.SZ,矩阵股份,2022-11-22,工程咨询服务Ⅲ,857261.SI
603153.SH,上海建科,2023-03-13,工程咨询服务Ⅲ,857261.SI
600846.SH,同济科技,2023-07-06,工程咨询服务Ⅲ,857261.SI
301505.SZ,苏州规划,2023-07-19,工程咨询服务Ⅲ,857261.SI
600720.SH,中交设计,2024-01-22,工程咨询服务Ⅲ,857261.SI
301390.SZ,经纬股份,2024-07-31,工程咨询服务Ⅲ,857261.SI
603257.SH,中国瑞林,2025-04-08,工程咨询服务Ⅲ,857261.SI
000779.SZ,甘咨询,2021-12-13,工程咨询服务Ⅲ,857261.SI
