股票代码,股票简称,纳入时间,申万3级,l3_index_code
002144.SZ,宏达高科,2021-12-13,其他纺织,851316.SI
300819.SZ,聚杰微纤,2021-12-13,其他纺织,851316.SI
300877.SZ,金春股份,2021-12-13,其他纺织,851316.SI
300918.SZ,南山智尚,2021-12-13,其他纺织,851316.SI
600156.SH,华升股份,2021-12-13,其他纺织,851316.SI
600527.SH,江南高纤,2021-12-13,其他纺织,851316.SI
601599.SH,浙文影业,2021-12-13,其他纺织,851316.SI
603055.SH,台华新材,2021-12-13,其他纺织,851316.SI
603889.SH,新澳股份,2021-12-13,其他纺织,851316.SI
605180.SH,华生科技,2021-12-13,其他纺织,851316.SI
301066.SZ,万事利,2022-08-01,其他纺织,851316.SI
603130.SH,云中马,2022-11-18,其他纺织,851316.SI
001390.SZ,古麒绒材,2025-05-29,其他纺织,851316.SI
603238.SH,诺邦股份,2025-08-13,其他纺织,851316.SI
001312.SZ,福恩股份,2026-04-21,其他纺织,851316.SI
000955.SZ,欣龙控股,2021-12-13,其他纺织,851316.SI
