股票代码,股票简称,纳入时间,申万3级,l3_index_code
300400.SZ,劲拓股份,2021-12-13,其他自动化设备,850784.SI
300461.SZ,田中精机,2021-12-13,其他自动化设备,850784.SI
300486.SZ,东杰智能,2021-12-13,其他自动化设备,850784.SI
300757.SZ,罗博特科,2021-12-13,其他自动化设备,850784.SI
300802.SZ,矩子科技,2021-12-13,其他自动化设备,850784.SI
301029.SZ,怡合达,2021-12-13,其他自动化设备,850784.SI
605186.SH,健麾信息,2021-12-13,其他自动化设备,850784.SI
688003.SH,天准科技,2021-12-13,其他自动化设备,850784.SI
688097.SH,博众精工,2021-12-13,其他自动化设备,850784.SI
688215.SH,瑞晟智能,2021-12-13,其他自动化设备,850784.SI
688310.SH,迈得医疗,2021-12-13,其他自动化设备,850784.SI
688329.SH,艾隆科技,2021-12-13,其他自动化设备,850784.SI
688686.SH,奥普特,2021-12-13,其他自动化设备,850784.SI
688306.SH,均普智能,2022-03-22,其他自动化设备,850784.SI
688125.SH,安达智能,2022-04-15,其他自动化设备,850784.SI
301312.SZ,智立方,2022-07-11,其他自动化设备,850784.SI
688455.SH,科捷智能,2022-09-15,其他自动化设备,850784.SI
001223.SZ,欧克科技,2022-12-12,其他自动化设备,850784.SI
688623.SH,双元科技,2023-06-08,其他自动化设备,850784.SI
301512.SZ,智信精密,2023-07-20,其他自动化设备,850784.SI
301568.SZ,思泰克,2023-11-28,其他自动化设备,850784.SI
603082.SH,北自科技,2024-01-30,其他自动化设备,850784.SI
688816.SH,易思维,2026-02-11,其他自动化设备,850784.SI
688835.SH,高凯技术,2026-08-25,其他自动化设备,850784.SI
300097.SZ,智云股份,2021-12-13,其他自动化设备,850784.SI
