股票代码,股票简称,纳入时间,申万3级,l3_index_code
000538.SZ,云南白药,2021-12-13,中药Ⅲ,851521.SI
000590.SZ,古汉医药,2021-12-13,中药Ⅲ,851521.SI
000650.SZ,仁和药业,2021-12-13,中药Ⅲ,851521.SI
000790.SZ,华神科技,2021-12-13,中药Ⅲ,851521.SI
000989.SZ,九芝堂,2021-12-13,中药Ⅲ,851521.SI
000999.SZ,华润三九,2021-12-13,中药Ⅲ,851521.SI
002107.SZ,沃华医药,2021-12-13,中药Ⅲ,851521.SI
002198.SZ,ST嘉应,2021-12-13,中药Ⅲ,851521.SI
002275.SZ,桂林三金,2021-12-13,中药Ⅲ,851521.SI
002287.SZ,奇正藏药,2021-12-13,中药Ⅲ,851521.SI
002317.SZ,众生药业,2021-12-13,中药Ⅲ,851521.SI
002349.SZ,精华制药,2021-12-13,中药Ⅲ,851521.SI
002390.SZ,信邦制药,2021-12-13,中药Ⅲ,851521.SI
002412.SZ,汉森制药,2021-12-13,中药Ⅲ,851521.SI
002424.SZ,ST百灵,2021-12-13,中药Ⅲ,851521.SI
002566.SZ,益盛药业,2021-12-13,中药Ⅲ,851521.SI
002603.SZ,以岭药业,2021-12-13,中药Ⅲ,851521.SI
002644.SZ,佛慈制药,2021-12-13,中药Ⅲ,851521.SI
002728.SZ,特一药业,2021-12-13,中药Ⅲ,851521.SI
002737.SZ,葵花药业,2021-12-13,中药Ⅲ,851521.SI
002864.SZ,盘龙药业,2021-12-13,中药Ⅲ,851521.SI
002873.SZ,新天药业,2021-12-13,中药Ⅲ,851521.SI
002907.SZ,华森制药,2021-12-13,中药Ⅲ,851521.SI
300026.SZ,红日药业,2021-12-13,中药Ⅲ,851521.SI
300039.SZ,上海凯宝,2021-12-13,中药Ⅲ,851521.SI
300147.SZ,*ST香雪,2021-12-13,中药Ⅲ,851521.SI
300181.SZ,佐力药业,2021-12-13,中药Ⅲ,851521.SI
300519.SZ,新光药业,2021-12-13,中药Ⅲ,851521.SI
300534.SZ,陇神戎发,2021-12-13,中药Ⅲ,851521.SI
300878.SZ,维康药业,2021-12-13,中药Ⅲ,851521.SI
600080.SH,ST金花,2021-12-13,中药Ⅲ,851521.SI
600085.SH,同仁堂,2021-12-13,中药Ⅲ,851521.SI
600129.SH,太极集团,2021-12-13,中药Ⅲ,851521.SI
600222.SH,太龙药业,2021-12-13,中药Ⅲ,851521.SI
600252.SH,中恒集团,2021-12-13,中药Ⅲ,851521.SI
600285.SH,羚锐制药,2021-12-13,中药Ⅲ,851521.SI
600329.SH,达仁堂,2021-12-13,中药Ⅲ,851521.SI
600332.SH,白云山,2021-12-13,中药Ⅲ,851521.SI
600351.SH,亚宝药业,2021-12-13,中药Ⅲ,851521.SI
600422.SH,昆药集团,2021-12-13,中药Ⅲ,851521.SI
600436.SH,片仔癀,2021-12-13,中药Ⅲ,851521.SI
600479.SH,千金药业,2021-12-13,中药Ⅲ,851521.SI
600518.SH,康美药业,2021-12-13,中药Ⅲ,851521.SI
600535.SH,天士力,2021-12-13,中药Ⅲ,851521.SI
600557.SH,康缘药业,2021-12-13,中药Ⅲ,851521.SI
600566.SH,济川药业,2021-12-13,中药Ⅲ,851521.SI
600572.SH,康恩贝,2021-12-13,中药Ⅲ,851521.SI
600594.SH,益佰制药,2021-12-13,中药Ⅲ,851521.SI
600671.SH,天目药业,2021-12-13,中药Ⅲ,851521.SI
600750.SH,华润江中,2021-12-13,中药Ⅲ,851521.SI
600771.SH,广誉远,2021-12-13,中药Ⅲ,851521.SI
600976.SH,健民集团,2021-12-13,中药Ⅲ,851521.SI
600993.SH,马应龙,2021-12-13,中药Ⅲ,851521.SI
603139.SH,康惠股份,2021-12-13,中药Ⅲ,851521.SI
603439.SH,三力制药,2021-12-13,中药Ⅲ,851521.SI
603567.SH,珍宝岛,2021-12-13,中药Ⅲ,851521.SI
603858.SH,步长制药,2021-12-13,中药Ⅲ,851521.SI
603896.SH,寿仙谷,2021-12-13,中药Ⅲ,851521.SI
603998.SH,方盛制药,2021-12-13,中药Ⅲ,851521.SI
605199.SH,ST葫芦娃,2021-12-13,中药Ⅲ,851521.SI
000623.SZ,吉林敖东,2022-08-01,中药Ⅲ,851521.SI
002082.SZ,ST万邦,2022-08-01,中药Ⅲ,851521.SI
301111.SZ,粤万年青,2022-08-01,中药Ⅲ,851521.SI
301331.SZ,恩威医药,2022-09-21,中药Ⅲ,851521.SI
300158.SZ,振东制药,2023-07-06,中药Ⅲ,851521.SI
000423.SZ,东阿阿胶,2021-12-13,中药Ⅲ,851521.SI
