股票代码,股票简称,纳入时间,申万3级,l3_index_code
000697.SZ,炼石航空,2021-12-13,航空装备Ⅲ,857421.SI
000738.SZ,航发控制,2021-12-13,航空装备Ⅲ,857421.SI
000768.SZ,中航西飞,2021-12-13,航空装备Ⅲ,857421.SI
002023.SZ,海特高新,2021-12-13,航空装备Ⅲ,857421.SI
002297.SZ,博云新材,2021-12-13,航空装备Ⅲ,857421.SI
002389.SZ,航天彩虹,2021-12-13,航空装备Ⅲ,857421.SI
002625.SZ,光启技术,2021-12-13,航空装备Ⅲ,857421.SI
002933.SZ,新兴装备,2021-12-13,航空装备Ⅲ,857421.SI
002985.SZ,北摩高科,2021-12-13,航空装备Ⅲ,857421.SI
300034.SZ,钢研高纳,2021-12-13,航空装备Ⅲ,857421.SI
300395.SZ,菲利华,2021-12-13,航空装备Ⅲ,857421.SI
300424.SZ,航新科技,2021-12-13,航空装备Ⅲ,857421.SI
300581.SZ,晨曦航空,2021-12-13,航空装备Ⅲ,857421.SI
300696.SZ,爱乐达,2021-12-13,航空装备Ⅲ,857421.SI
300699.SZ,光威复材,2021-12-13,航空装备Ⅲ,857421.SI
300719.SZ,安达维尔,2021-12-13,航空装备Ⅲ,857421.SI
300775.SZ,三角防务,2021-12-13,航空装备Ⅲ,857421.SI
300777.SZ,中简科技,2021-12-13,航空装备Ⅲ,857421.SI
300900.SZ,广联航空,2021-12-13,航空装备Ⅲ,857421.SI
300965.SZ,恒宇信通,2021-12-13,航空装备Ⅲ,857421.SI
600038.SH,中直股份,2021-12-13,航空装备Ⅲ,857421.SI
600316.SH,洪都航空,2021-12-13,航空装备Ⅲ,857421.SI
600372.SH,中航机载,2021-12-13,航空装备Ⅲ,857421.SI
600391.SH,航发科技,2021-12-13,航空装备Ⅲ,857421.SI
600760.SH,中航沈飞,2021-12-13,航空装备Ⅲ,857421.SI
600765.SH,中航重机,2021-12-13,航空装备Ⅲ,857421.SI
600862.SH,中航高科,2021-12-13,航空装备Ⅲ,857421.SI
600893.SH,航发动力,2021-12-13,航空装备Ⅲ,857421.SI
605123.SH,派克新材,2021-12-13,航空装备Ⅲ,857421.SI
688070.SH,纵横股份,2021-12-13,航空装备Ⅲ,857421.SI
688122.SH,西部超导,2021-12-13,航空装备Ⅲ,857421.SI
688239.SH,航宇科技,2021-12-13,航空装备Ⅲ,857421.SI
688510.SH,航亚科技,2021-12-13,航空装备Ⅲ,857421.SI
688586.SH,江航装备,2021-12-13,航空装备Ⅲ,857421.SI
688685.SH,迈信林,2021-12-13,航空装备Ⅲ,857421.SI
688281.SH,华秦科技,2022-03-07,航空装备Ⅲ,857421.SI
603261.SH,立航科技,2022-03-15,航空装备Ⅲ,857421.SI
688297.SH,中无人机,2022-06-29,航空装备Ⅲ,857421.SI
688237.SH,超卓航科,2022-07-01,航空装备Ⅲ,857421.SI
002651.SZ,利君股份,2022-08-01,航空装备Ⅲ,857421.SI
002111.SZ,威海广泰,2023-07-06,航空装备Ⅲ,857421.SI
688563.SH,航材股份,2023-07-19,航空装备Ⅲ,857421.SI
301586.SZ,佳力奇,2024-08-28,航空装备Ⅲ,857421.SI
688708.SH,佳驰科技,2024-12-05,航空装备Ⅲ,857421.SI
302132.SZ,中航成飞,2026-08-25,航空装备Ⅲ,857421.SI
000561.SZ,烽火电子,2021-12-13,航空装备Ⅲ,857421.SI
