股票代码,股票简称,纳入时间,申万3级,l3_index_code
002632.SZ,道明光学,2021-07-30,膜材料,850355.SI
000859.SZ,国风新材,2021-07-30,膜材料,850355.SI
001359.SZ,平安电工,2024-03-18,膜材料,850355.SI
688323.SH,瑞华泰,2021-07-30,膜材料,850355.SI
601208.SH,东材科技,2021-07-30,膜材料,850355.SI
000973.SZ,佛塑科技,2021-07-30,膜材料,850355.SI
688386.SH,泛亚微透,2020-09-24,膜材料,850355.SI
688718.SH,唯赛勃,2021-07-30,膜材料,850355.SI
603435.SH,嘉德利,2026-04-30,膜材料,850355.SI
600135.SH,乐凯胶片,1998-01-22,膜材料,850355.SI
001378.SZ,德冠新材,2023-10-13,膜材料,850355.SI
301687.SZ,新广益,2025-12-12,膜材料,850355.SI
301237.SZ,和顺科技,2022-03-04,膜材料,850355.SI
002585.SZ,双星新材,2011-01-25,膜材料,850355.SI
605488.SH,福莱新材,2022-07-29,膜材料,850355.SI
300806.SZ,斯迪克,2021-07-30,膜材料,850355.SI
300305.SZ,裕兴股份,2021-07-30,膜材料,850355.SI
301565.SZ,中仑新材,2024-05-31,膜材料,850355.SI
000920.SZ,沃顿科技,2022-07-29,膜材料,850355.SI
002263.SZ,大东南,2021-07-30,膜材料,850355.SI
002522.SZ,浙江众成,2010-01-04,膜材料,850355.SI
