股票代码,股票简称,纳入时间,申万3级,l3_index_code
002030.SZ,达安基因,2021-12-13,体外诊断,851534.SI
002932.SZ,*ST明德,2021-12-13,体外诊断,851534.SI
300289.SZ,利德曼,2021-12-13,体外诊断,851534.SI
300396.SZ,ST迪瑞,2021-12-13,体外诊断,851534.SI
300406.SZ,九强生物,2021-12-13,体外诊断,851534.SI
300439.SZ,美康生物,2021-12-13,体外诊断,851534.SI
300463.SZ,迈克生物,2021-12-13,体外诊断,851534.SI
300482.SZ,万孚生物,2021-12-13,体外诊断,851534.SI
300639.SZ,凯普生物,2021-12-13,体外诊断,851534.SI
300642.SZ,透景生命,2021-12-13,体外诊断,851534.SI
300685.SZ,艾德生物,2021-12-13,体外诊断,851534.SI
300832.SZ,新产业,2021-12-13,体外诊断,851534.SI
300942.SZ,易瑞生物,2021-12-13,体外诊断,851534.SI
600645.SH,中源协和,2021-12-13,体外诊断,851534.SI
603387.SH,基蛋生物,2021-12-13,体外诊断,851534.SI
603658.SH,安图生物,2021-12-13,体外诊断,851534.SI
688067.SH,爱威科技,2021-12-13,体外诊断,851534.SI
688068.SH,热景生物,2021-12-13,体外诊断,851534.SI
688075.SH,安旭生物,2021-12-13,体外诊断,851534.SI
688217.SH,睿昂基因,2021-12-13,体外诊断,851534.SI
688289.SH,圣湘生物,2021-12-13,体外诊断,851534.SI
688298.SH,东方生物,2021-12-13,体外诊断,851534.SI
688317.SH,之江生物,2021-12-13,体外诊断,851534.SI
688338.SH,赛科希德,2021-12-13,体外诊断,851534.SI
688389.SH,普门科技,2021-12-13,体外诊断,851534.SI
688393.SH,安必平,2021-12-13,体外诊断,851534.SI
688399.SH,硕世生物,2021-12-13,体外诊断,851534.SI
688468.SH,科美诊断,2021-12-13,体外诊断,851534.SI
688575.SH,亚辉龙,2021-12-13,体外诊断,851534.SI
688606.SH,奥泰生物,2021-12-13,体外诊断,851534.SI
688656.SH,浩欧博,2021-12-13,体外诊断,851534.SI
688767.SH,博拓生物,2021-12-13,体外诊断,851534.SI
688193.SH,仁度生物,2022-03-30,体外诊断,851534.SI
688253.SH,英诺特,2022-07-28,体外诊断,851534.SI
002432.SZ,九安医疗,2022-08-01,体外诊断,851534.SI
688426.SH,康为世纪,2024-07-31,体外诊断,851534.SI
603392.SH,万泰生物,2026-07-02,体外诊断,851534.SI
002022.SZ,科华生物,2021-12-13,体外诊断,851534.SI
