股票代码,股票简称,纳入时间,申万3级,l3_index_code
000576.SZ,甘化科工,2021-12-13,地面兵装Ⅲ,857431.SI
300527.SZ,ST应急,2021-12-13,地面兵装Ⅲ,857431.SI
300875.SZ,捷强装备,2021-12-13,地面兵装Ⅲ,857431.SI
300922.SZ,天秦装备,2021-12-13,地面兵装Ⅲ,857431.SI
600184.SH,光电股份,2021-12-13,地面兵装Ⅲ,857431.SI
600435.SH,北方导航,2021-12-13,地面兵装Ⅲ,857431.SI
600967.SH,内蒙一机,2021-12-13,地面兵装Ⅲ,857431.SI
601606.SH,长城军工,2021-12-13,地面兵装Ⅲ,857431.SI
301357.SZ,北方长龙,2023-04-18,地面兵装Ⅲ,857431.SI
688543.SH,国科军工,2023-06-21,地面兵装Ⅲ,857431.SI
002519.SZ,银河电子,2023-08-24,地面兵装Ⅲ,857431.SI
000519.SZ,中兵红箭,2021-12-13,地面兵装Ⅲ,857431.SI
