股票代码,股票简称,纳入时间,申万3级,l3_index_code
002747.SZ,埃斯顿,2021-12-13,机器人,850781.SI
002979.SZ,雷赛智能,2021-12-13,机器人,850781.SI
300024.SZ,机器人,2021-12-13,机器人,850781.SI
300276.SZ,三丰智能,2021-12-13,机器人,850781.SI
300607.SZ,拓斯达,2021-12-13,机器人,850781.SI
301199.SZ,迈赫股份,2021-12-13,机器人,850781.SI
603416.SH,信捷电气,2021-12-13,机器人,850781.SI
603666.SH,亿嘉和,2021-12-13,机器人,850781.SI
688017.SH,绿的谐波,2021-12-13,机器人,850781.SI
688090.SH,瑞松科技,2021-12-13,机器人,850781.SI
688165.SH,埃夫特-U,2021-12-13,机器人,850781.SI
688218.SH,江苏北人,2021-12-13,机器人,850781.SI
688255.SH,凯尔达,2021-12-13,机器人,850781.SI
688290.SH,景业智能,2022-04-29,机器人,850781.SI
301112.SZ,信邦智能,2022-06-29,机器人,850781.SI
600215.SH,派斯林,2022-08-01,机器人,850781.SI
688836.SH,宇树科技,2026-08-19,机器人,850781.SI
002698.SZ,博实股份,2021-12-13,机器人,850781.SI
