股票代码,股票简称,纳入时间,申万3级,l3_index_code
000593.SZ,德龙汇能,2021-12-13,燃气Ⅲ,851631.SI
000669.SZ,ST金鸿,2021-12-13,燃气Ⅲ,851631.SI
002259.SZ,升达林业,2021-12-13,燃气Ⅲ,851631.SI
002267.SZ,陕天然气,2021-12-13,燃气Ⅲ,851631.SI
002700.SZ,万憬能源,2021-12-13,燃气Ⅲ,851631.SI
002911.SZ,佛燃能源,2021-12-13,燃气Ⅲ,851631.SI
300332.SZ,天壕能源,2021-12-13,燃气Ⅲ,851631.SI
300483.SZ,首华燃气,2021-12-13,燃气Ⅲ,851631.SI
600333.SH,长春燃气,2021-12-13,燃气Ⅲ,851631.SI
600617.SH,国新能源,2021-12-13,燃气Ⅲ,851631.SI
600635.SH,大众公用,2021-12-13,燃气Ⅲ,851631.SI
600681.SH,百川能源,2021-12-13,燃气Ⅲ,851631.SI
600803.SH,新奥股份,2021-12-13,燃气Ⅲ,851631.SI
600903.SH,贵州燃气,2021-12-13,燃气Ⅲ,851631.SI
600917.SH,重庆燃气,2021-12-13,燃气Ⅲ,851631.SI
601139.SH,深圳燃气,2021-12-13,燃气Ⅲ,851631.SI
603053.SH,成都燃气,2021-12-13,燃气Ⅲ,851631.SI
603080.SH,新疆火炬,2021-12-13,燃气Ⅲ,851631.SI
603318.SH,水发燃气,2021-12-13,燃气Ⅲ,851631.SI
603393.SH,新天然气,2021-12-13,燃气Ⅲ,851631.SI
603689.SH,皖天然气,2021-12-13,燃气Ⅲ,851631.SI
603706.SH,东方环宇,2021-12-13,燃气Ⅲ,851631.SI
605090.SH,九丰能源,2021-12-13,燃气Ⅲ,851631.SI
605169.SH,洪通燃气,2021-12-13,燃气Ⅲ,851631.SI
605368.SH,蓝天燃气,2021-12-13,燃气Ⅲ,851631.SI
001331.SZ,胜通能源,2022-09-08,燃气Ⅲ,851631.SI
001299.SZ,美能能源,2022-10-31,燃气Ⅲ,851631.SI
000407.SZ,胜利股份,2021-12-13,燃气Ⅲ,851631.SI
