股票代码,股票简称,纳入时间,申万3级,l3_index_code
002091.SZ,江苏国泰,2021-12-13,贸易Ⅲ,852021.SI
600058.SH,五矿发展,2021-12-13,贸易Ⅲ,852021.SI
600128.SH,苏豪弘业,2021-12-13,贸易Ⅲ,852021.SI
600278.SH,东方创业,2021-12-13,贸易Ⅲ,852021.SI
600287.SH,苏豪时尚,2021-12-13,贸易Ⅲ,852021.SI
600710.SH,苏美达,2021-12-13,贸易Ⅲ,852021.SI
600981.SH,苏豪汇鸿,2021-12-13,贸易Ⅲ,852021.SI
601061.SH,中信金属,2023-04-10,贸易Ⅲ,852021.SI
002072.SZ,凯瑞德,2023-07-06,贸易Ⅲ,852021.SI
002183.SZ,怡亚通,2024-07-31,贸易Ⅲ,852021.SI
000701.SZ,厦门信达,2026-07-02,贸易Ⅲ,852021.SI
000151.SZ,中成股份,2021-12-13,贸易Ⅲ,852021.SI
