股票代码,股票简称,纳入时间,申万3级,l3_index_code
002819.SZ,东方中科,2021-12-13,仪器仪表,850731.SI
002849.SZ,威星智能,2021-12-13,仪器仪表,850731.SI
300007.SZ,汉威科技,2021-12-13,仪器仪表,850731.SI
300066.SZ,三川智慧,2021-12-13,仪器仪表,850731.SI
300112.SZ,万讯自控,2021-12-13,仪器仪表,850731.SI
300165.SZ,天瑞仪器,2021-12-13,仪器仪表,850731.SI
300259.SZ,新天科技,2021-12-13,仪器仪表,850731.SI
300306.SZ,远方信息,2021-12-13,仪器仪表,850731.SI
300349.SZ,金卡智能,2021-12-13,仪器仪表,850731.SI
300354.SZ,东华测试,2021-12-13,仪器仪表,850731.SI
300370.SZ,安控科技,2021-12-13,仪器仪表,850731.SI
300371.SZ,汇中股份,2021-12-13,仪器仪表,850731.SI
300417.SZ,南华仪器,2021-12-13,仪器仪表,850731.SI
300445.SZ,康斯特,2021-12-13,仪器仪表,850731.SI
300515.SZ,三德科技,2021-12-13,仪器仪表,850731.SI
300553.SZ,集智股份,2021-12-13,仪器仪表,850731.SI
300557.SZ,理工光科,2021-12-13,仪器仪表,850731.SI
300567.SZ,精测电子,2021-12-13,仪器仪表,850731.SI
300667.SZ,必创科技,2021-12-13,仪器仪表,850731.SI
300720.SZ,海川智能,2021-12-13,仪器仪表,850731.SI
300862.SZ,蓝盾光电,2021-12-13,仪器仪表,850731.SI
300897.SZ,山科智能,2021-12-13,仪器仪表,850731.SI
300906.SZ,日月明,2021-12-13,仪器仪表,850731.SI
301006.SZ,迈拓股份,2021-12-13,仪器仪表,850731.SI
301129.SZ,瑞纳智能,2021-12-13,仪器仪表,850731.SI
603100.SH,川仪股份,2021-12-13,仪器仪表,850731.SI
603662.SH,柯力传感,2021-12-13,仪器仪表,850731.SI
603700.SH,宁水集团,2021-12-13,仪器仪表,850731.SI
605056.SH,咸亨国际,2021-12-13,仪器仪表,850731.SI
688001.SH,华兴源创,2021-12-13,仪器仪表,850731.SI
688056.SH,莱伯泰科,2021-12-13,仪器仪表,850731.SI
688112.SH,鼎阳科技,2021-12-13,仪器仪表,850731.SI
688528.SH,秦川物联,2021-12-13,仪器仪表,850731.SI
688622.SH,*ST禾信,2021-12-13,仪器仪表,850731.SI
688628.SH,优利德,2021-12-13,仪器仪表,850731.SI
688665.SH,四方光电,2021-12-13,仪器仪表,850731.SI
688768.SH,容知日新,2021-12-13,仪器仪表,850731.SI
688115.SH,思林杰,2022-03-14,仪器仪表,850731.SI
688337.SH,普源精电,2022-04-08,仪器仪表,850731.SI
002175.SZ,*ST东智,2022-08-01,仪器仪表,850731.SI
301197.SZ,工大科雅,2022-08-08,仪器仪表,850731.SI
301303.SZ,真兰仪表,2023-02-20,仪器仪表,850731.SI
301360.SZ,荣旗科技,2023-04-25,仪器仪表,850731.SI
688627.SH,精智达,2023-07-18,仪器仪表,850731.SI
688610.SH,埃科光电,2023-07-19,仪器仪表,850731.SI
301528.SZ,多浦乐,2023-08-28,仪器仪表,850731.SI
301413.SZ,安培龙,2023-12-01,仪器仪表,850731.SI
300466.SZ,赛摩智能,2024-07-31,仪器仪表,850731.SI
688583.SH,思看科技,2025-01-15,仪器仪表,850731.SI
688600.SH,皖仪科技,2025-09-29,仪器仪表,850731.SI
688808.SH,联讯仪器,2026-04-24,仪器仪表,850731.SI
300572.SZ,安车检测,2026-07-02,仪器仪表,850731.SI
688828.SH,国仪公司,2026-08-11,仪器仪表,850731.SI
002767.SZ,先锋电子,2021-12-13,仪器仪表,850731.SI
