股票代码,股票简称,纳入时间,申万3级,l3_index_code
002134.SZ,天津普林,2021-12-13,印制电路板,850822.SI
002384.SZ,东山精密,2021-12-13,印制电路板,850822.SI
002436.SZ,兴森科技,2021-12-13,印制电路板,850822.SI
002463.SZ,沪电股份,2021-12-13,印制电路板,850822.SI
002579.SZ,中京电子,2021-12-13,印制电路板,850822.SI
002636.SZ,金安国纪,2021-12-13,印制电路板,850822.SI
002815.SZ,崇达技术,2021-12-13,印制电路板,850822.SI
002913.SZ,奥士康,2021-12-13,印制电路板,850822.SI
002916.SZ,深南电路,2021-12-13,印制电路板,850822.SI
002938.SZ,鹏鼎控股,2021-12-13,印制电路板,850822.SI
300476.SZ,胜宏科技,2021-12-13,印制电路板,850822.SI
300657.SZ,弘信电子,2021-12-13,印制电路板,850822.SI
300739.SZ,明阳电路,2021-12-13,印制电路板,850822.SI
300814.SZ,中富电路,2021-12-13,印制电路板,850822.SI
300852.SZ,四会富仕,2021-12-13,印制电路板,850822.SI
300903.SZ,科翔股份,2021-12-13,印制电路板,850822.SI
300936.SZ,中英科技,2021-12-13,印制电路板,850822.SI
300964.SZ,本川智能,2021-12-13,印制电路板,850822.SI
301041.SZ,金百泽,2021-12-13,印制电路板,850822.SI
600183.SH,生益科技,2021-12-13,印制电路板,850822.SI
600601.SH,方正科技,2021-12-13,印制电路板,850822.SI
603186.SH,华正新材,2021-12-13,印制电路板,850822.SI
603228.SH,景旺电子,2021-12-13,印制电路板,850822.SI
603328.SH,依顿电子,2021-12-13,印制电路板,850822.SI
603386.SH,骏亚科技,2021-12-13,印制电路板,850822.SI
603920.SH,世运电路,2021-12-13,印制电路板,850822.SI
603936.SH,博敏电子,2021-12-13,印制电路板,850822.SI
605058.SH,澳弘电子,2021-12-13,印制电路板,850822.SI
605258.SH,协和电子,2021-12-13,印制电路板,850822.SI
688020.SH,方邦股份,2021-12-13,印制电路板,850822.SI
688183.SH,生益电子,2021-12-13,印制电路板,850822.SI
688519.SH,南亚新材,2021-12-13,印制电路板,850822.SI
688655.SH,迅捷兴,2021-12-13,印制电路板,850822.SI
301132.SZ,满坤科技,2022-08-10,印制电路板,850822.SI
301282.SZ,金禄电子,2022-08-26,印制电路板,850822.SI
301366.SZ,一博科技,2022-09-26,印制电路板,850822.SI
301176.SZ,逸豪新材,2022-09-28,印制电路板,850822.SI
301251.SZ,威尔高,2023-09-06,印制电路板,850822.SI
001389.SZ,广合科技,2024-04-02,印制电路板,850822.SI
301628.SZ,强达电路,2024-10-31,印制电路板,850822.SI
603175.SH,超颖电子,2025-10-24,印制电路板,850822.SI
603459.SH,红板科技,2026-04-08,印制电路板,850822.SI
002141.SZ,贤丰控股,2026-07-02,印制电路板,850822.SI
002552.SZ,宝鼎科技,2026-07-02,印制电路板,850822.SI
001232.SZ,嘉立创,2026-08-04,印制电路板,850822.SI
000823.SZ,超声电子,2021-12-13,印制电路板,850822.SI
