股票代码,股票简称,纳入时间,申万3级,l3_index_code
000977.SZ,浪潮信息,2021-12-13,其他计算机设备,850703.SI
000997.SZ,新大陆,2021-12-13,其他计算机设备,850703.SI
002152.SZ,广电运通,2021-12-13,其他计算机设备,850703.SI
002197.SZ,证通电子,2021-12-13,其他计算机设备,850703.SI
002268.SZ,电科网安,2021-12-13,其他计算机设备,850703.SI
002376.SZ,新北洋,2021-12-13,其他计算机设备,850703.SI
002512.SZ,ST达华,2021-12-13,其他计算机设备,850703.SI
002577.SZ,雷柏科技,2021-12-13,其他计算机设备,850703.SI
002912.SZ,中新赛克,2021-12-13,其他计算机设备,850703.SI
002970.SZ,锐明技术,2021-12-13,其他计算机设备,850703.SI
002990.SZ,盛视科技,2021-12-13,其他计算机设备,850703.SI
300042.SZ,朗科科技,2021-12-13,其他计算机设备,850703.SI
300130.SZ,新国都,2021-12-13,其他计算机设备,850703.SI
300248.SZ,新开普,2021-12-13,其他计算机设备,850703.SI
300249.SZ,依米康,2021-12-13,其他计算机设备,850703.SI
300302.SZ,同有科技,2021-12-13,其他计算机设备,850703.SI
300324.SZ,旋极信息,2021-12-13,其他计算机设备,850703.SI
300333.SZ,兆日科技,2021-12-13,其他计算机设备,850703.SI
300368.SZ,汇金股份,2021-12-13,其他计算机设备,850703.SI
300386.SZ,飞天诚信,2021-12-13,其他计算机设备,850703.SI
300455.SZ,航天智装,2021-12-13,其他计算机设备,850703.SI
300462.SZ,ST华铭,2021-12-13,其他计算机设备,850703.SI
300479.SZ,神思电子,2021-12-13,其他计算机设备,850703.SI
300508.SZ,维宏股份,2021-12-13,其他计算机设备,850703.SI
300531.SZ,优博讯,2021-12-13,其他计算机设备,850703.SI
300546.SZ,雄帝科技,2021-12-13,其他计算机设备,850703.SI
300551.SZ,古鳌科技,2021-12-13,其他计算机设备,850703.SI
300552.SZ,万集科技,2021-12-13,其他计算机设备,850703.SI
300645.SZ,正元智慧,2021-12-13,其他计算机设备,850703.SI
300659.SZ,中孚信息,2021-12-13,其他计算机设备,850703.SI
300743.SZ,天地数码,2021-12-13,其他计算机设备,850703.SI
300771.SZ,智莱科技,2021-12-13,其他计算机设备,850703.SI
300789.SZ,唐源电气,2021-12-13,其他计算机设备,850703.SI
300807.SZ,天迈科技,2021-12-13,其他计算机设备,850703.SI
300845.SZ,捷安高科,2021-12-13,其他计算机设备,850703.SI
300941.SZ,创识科技,2021-12-13,其他计算机设备,850703.SI
600100.SH,同方股份,2021-12-13,其他计算机设备,850703.SI
603019.SH,中科曙光,2021-12-13,其他计算机设备,850703.SI
603106.SH,恒银科技,2021-12-13,其他计算机设备,850703.SI
603496.SH,恒为科技,2021-12-13,其他计算机设备,850703.SI
603516.SH,淳中科技,2021-12-13,其他计算机设备,850703.SI
603660.SH,苏州科达,2021-12-13,其他计算机设备,850703.SI
688060.SH,云涌科技,2021-12-13,其他计算机设备,850703.SI
688188.SH,柏楚电子,2021-12-13,其他计算机设备,850703.SI
688208.SH,道通科技,2021-12-13,其他计算机设备,850703.SI
688288.SH,鸿泉技术,2021-12-13,其他计算机设备,850703.SI
001229.SZ,魅视科技,2022-08-08,其他计算机设备,850703.SI
001339.SZ,智微智能,2022-08-15,其他计算机设备,850703.SI
301339.SZ,通行宝,2022-09-09,其他计算机设备,850703.SI
301391.SZ,卡莱特,2022-12-01,其他计算机设备,850703.SI
002180.SZ,奔图科技,2023-03-17,其他计算机设备,850703.SI
301503.SZ,智迪科技,2023-07-17,其他计算机设备,850703.SI
301589.SZ,诺瓦星云,2024-02-08,其他计算机设备,850703.SI
688292.SH,浩瀚深度,2024-05-22,其他计算机设备,850703.SI
002869.SZ,金溢科技,2024-07-31,其他计算机设备,850703.SI
300847.SZ,中船汉光,2024-07-31,其他计算机设备,850703.SI
301608.SZ,博实结,2024-08-01,其他计算机设备,850703.SI
301600.SZ,慧翰股份,2024-09-11,其他计算机设备,850703.SI
000066.SZ,中国长城,2021-12-13,其他计算机设备,850703.SI
