股票代码,股票简称,纳入时间,申万3级,l3_index_code
002044.SZ,美年健康,2021-12-13,医院,851564.SI
002173.SZ,创新医疗,2021-12-13,医院,851564.SI
002219.SZ,新里程,2021-12-13,医院,851564.SI
002524.SZ,光正眼科,2021-12-13,医院,851564.SI
300015.SZ,爱尔眼科,2021-12-13,医院,851564.SI
300143.SZ,盈康生命,2021-12-13,医院,851564.SI
600568.SH,ST中珠,2021-12-13,医院,851564.SI
600763.SH,通策医疗,2021-12-13,医院,851564.SI
301103.SZ,何氏眼科,2022-03-22,医院,851564.SI
301239.SZ,普瑞眼科,2022-07-05,医院,851564.SI
002172.SZ,澳洋健康,2022-08-01,医院,851564.SI
301267.SZ,华厦眼科,2022-11-09,医院,851564.SI
301293.SZ,三博脑科,2023-05-05,医院,851564.SI
002622.SZ,皓宸医疗,2023-07-06,医院,851564.SI
000516.SZ,国际医学,2021-12-13,医院,851564.SI
