股票代码,股票简称,纳入时间,申万3级,l3_index_code
000158.SZ,常山北明,2021-12-13,IT服务Ⅲ,852226.SI
000555.SZ,神州信息,2021-12-13,IT服务Ⅲ,852226.SI
000938.SZ,紫光股份,2021-12-13,IT服务Ⅲ,852226.SI
002065.SZ,东华软件,2021-12-13,IT服务Ⅲ,852226.SI
002195.SZ,岩山科技,2021-12-13,IT服务Ⅲ,852226.SI
002232.SZ,启明信息,2021-12-13,IT服务Ⅲ,852226.SI
002331.SZ,皖通科技,2021-12-13,IT服务Ⅲ,852226.SI
002368.SZ,太极股份,2021-12-13,IT服务Ⅲ,852226.SI
002373.SZ,千方科技,2021-12-13,IT服务Ⅲ,852226.SI
002380.SZ,科远智慧,2021-12-13,IT服务Ⅲ,852226.SI
002401.SZ,中远海科,2021-12-13,IT服务Ⅲ,852226.SI
002421.SZ,达实智能,2021-12-13,IT服务Ⅲ,852226.SI
002474.SZ,榕基软件,2021-12-13,IT服务Ⅲ,852226.SI
002609.SZ,捷顺科技,2021-12-13,IT服务Ⅲ,852226.SI
002642.SZ,荣联科技,2021-12-13,IT服务Ⅲ,852226.SI
002649.SZ,博彦科技,2021-12-13,IT服务Ⅲ,852226.SI
002657.SZ,中科金财,2021-12-13,IT服务Ⅲ,852226.SI
002771.SZ,真视通,2021-12-13,IT服务Ⅲ,852226.SI
002777.SZ,久远银海,2021-12-13,IT服务Ⅲ,852226.SI
003005.SZ,竞业达,2021-12-13,IT服务Ⅲ,852226.SI
300017.SZ,网宿科技,2021-12-13,IT服务Ⅲ,852226.SI
300020.SZ,ST银江,2021-12-13,IT服务Ⅲ,852226.SI
300044.SZ,*ST赛为,2021-12-13,IT服务Ⅲ,852226.SI
300078.SZ,思创智联,2021-12-13,IT服务Ⅲ,852226.SI
300079.SZ,数码视讯,2021-12-13,IT服务Ⅲ,852226.SI
300096.SZ,ST易联众,2021-12-13,IT服务Ⅲ,852226.SI
300150.SZ,世纪瑞尔,2021-12-13,IT服务Ⅲ,852226.SI
300166.SZ,东方国信,2021-12-13,IT服务Ⅲ,852226.SI
300167.SZ,ST迪威迅,2021-12-13,IT服务Ⅲ,852226.SI
300168.SZ,万达信息,2021-12-13,IT服务Ⅲ,852226.SI
300170.SZ,汉得信息,2021-12-13,IT服务Ⅲ,852226.SI
300212.SZ,*ST易录,2021-12-13,IT服务Ⅲ,852226.SI
300231.SZ,银信科技,2021-12-13,IT服务Ⅲ,852226.SI
300245.SZ,ST天玑,2021-12-13,IT服务Ⅲ,852226.SI
