股票代码,股票简称,纳入时间,申万3级,l3_index_code
002196.SZ,方正电机,2021-12-13,电机Ⅲ,850741.SI
002249.SZ,大洋电机,2021-12-13,电机Ⅲ,850741.SI
002576.SZ,通达动力,2021-12-13,电机Ⅲ,850741.SI
002801.SZ,微光股份,2021-12-13,电机Ⅲ,850741.SI
002823.SZ,凯中精密,2021-12-13,电机Ⅲ,850741.SI
002892.SZ,科力尔,2021-12-13,电机Ⅲ,850741.SI
003021.SZ,兆威机电,2021-12-13,电机Ⅲ,850741.SI
300626.SZ,华瑞股份,2021-12-13,电机Ⅲ,850741.SI
300660.SZ,江苏雷利,2021-12-13,电机Ⅲ,850741.SI
300907.SZ,康平科技,2021-12-13,电机Ⅲ,850741.SI
301023.SZ,奕帆传动,2021-12-13,电机Ⅲ,850741.SI
600580.SH,卧龙电驱,2021-12-13,电机Ⅲ,850741.SI
603320.SH,迪贝电气,2021-12-13,电机Ⅲ,850741.SI
603489.SH,八方股份,2021-12-13,电机Ⅲ,850741.SI
603728.SH,鸣志电器,2021-12-13,电机Ⅲ,850741.SI
603819.SH,神力股份,2021-12-13,电机Ⅲ,850741.SI
603988.SH,中电电机,2021-12-13,电机Ⅲ,850741.SI
301226.SZ,祥明智能,2022-03-25,电机Ⅲ,850741.SI
301502.SZ,华阳智能,2024-02-02,电机Ⅲ,850741.SI
603344.SH,星德胜,2024-03-20,电机Ⅲ,850741.SI
603350.SH,安乃达,2024-07-03,电机Ⅲ,850741.SI
002176.SZ,江特电机,2024-07-31,电机Ⅲ,850741.SI
600416.SH,湘电股份,2024-07-31,电机Ⅲ,850741.SI
603370.SH,华新精科,2025-09-05,电机Ⅲ,850741.SI
301696.SZ,三瑞智能,2026-04-10,电机Ⅲ,850741.SI
000922.SZ,佳电股份,2021-12-13,电机Ⅲ,850741.SI
