股票代码,股票简称,纳入时间,申万3级,l3_index_code
002689.SZ,ST远智,2021-12-13,楼宇设备,850728.SI
002774.SZ,快意电梯,2021-12-13,楼宇设备,850728.SI
002960.SZ,青鸟智控,2021-12-13,楼宇设备,850728.SI
300669.SZ,沪宁股份,2021-12-13,楼宇设备,850728.SI
300931.SZ,通用电梯,2021-12-13,楼宇设备,850728.SI
301056.SZ,森赫股份,2021-12-13,楼宇设备,850728.SI
600835.SH,上海机电,2021-12-13,楼宇设备,850728.SI
600894.SH,广日股份,2021-12-13,楼宇设备,850728.SI
603321.SH,梅轮电梯,2021-12-13,楼宇设备,850728.SI
603356.SH,华菱精工,2021-12-13,楼宇设备,850728.SI
603488.SH,展鹏科技,2021-12-13,楼宇设备,850728.SI
605286.SH,同力天启,2021-12-13,楼宇设备,850728.SI
002527.SZ,新时达,2024-07-31,楼宇设备,850728.SI
002367.SZ,康力电梯,2021-12-13,楼宇设备,850728.SI
