股票代码,股票简称,纳入时间,申万3级,l3_index_code
000078.SZ,ST海王,2021-12-13,医药流通,851542.SI
000411.SZ,英特集团,2021-12-13,医药流通,851542.SI
000705.SZ,浙江震元,2021-12-13,医药流通,851542.SI
000950.SZ,重药控股,2021-12-13,医药流通,851542.SI
002462.SZ,嘉事堂,2021-12-13,医药流通,851542.SI
002589.SZ,瑞康医药,2021-12-13,医药流通,851542.SI
002788.SZ,鹭燕医药,2021-12-13,医药流通,851542.SI
300937.SZ,药易购,2021-12-13,医药流通,851542.SI
301015.SZ,百洋医药,2021-12-13,医药流通,851542.SI
301126.SZ,达嘉维康,2021-12-13,医药流通,851542.SI
600056.SH,中国医药,2021-12-13,医药流通,851542.SI
600272.SH,开开实业,2021-12-13,医药流通,851542.SI
600511.SH,国药股份,2021-12-13,医药流通,851542.SI
600538.SH,国发股份,2021-12-13,医药流通,851542.SI
600713.SH,南京医药,2021-12-13,医药流通,851542.SI
600829.SH,人民同泰,2021-12-13,医药流通,851542.SI
600998.SH,九州通,2021-12-13,医药流通,851542.SI
601607.SH,上海医药,2021-12-13,医药流通,851542.SI
603368.SH,柳药集团,2021-12-13,医药流通,851542.SI
603716.SH,塞力医疗,2021-12-13,医药流通,851542.SI
603122.SH,合富中国,2022-02-16,医药流通,851542.SI
603108.SH,润达医疗,2022-08-01,医药流通,851542.SI
301584.SZ,建发致新,2025-09-25,医药流通,851542.SI
000028.SZ,国药一致,2021-12-13,医药流通,851542.SI
