股票代码,股票简称,纳入时间,申万3级,l3_index_code
002048.SZ,宁波华翔,2021-12-13,车身附件及饰件,850922.SI
002516.SZ,旷达科技,2021-12-13,车身附件及饰件,850922.SI
002537.SZ,海联金汇,2021-12-13,车身附件及饰件,850922.SI
002662.SZ,峰璟股份,2021-12-13,车身附件及饰件,850922.SI
300100.SZ,双林股份,2021-12-13,车身附件及饰件,850922.SI
300978.SZ,东箭科技,2021-12-13,车身附件及饰件,850922.SI
301133.SZ,金钟股份,2021-12-13,车身附件及饰件,850922.SI
600081.SH,东风科技,2021-12-13,车身附件及饰件,850922.SI
600609.SH,金杯汽车,2021-12-13,车身附件及饰件,850922.SI
600626.SH,申达股份,2021-12-13,车身附件及饰件,850922.SI
600660.SH,福耀玻璃,2021-12-13,车身附件及饰件,850922.SI
600741.SH,华域汽车,2021-12-13,车身附件及饰件,850922.SI
600742.SH,富维股份,2021-12-13,车身附件及饰件,850922.SI
603035.SH,常熟汽饰,2021-12-13,车身附件及饰件,850922.SI
603085.SH,天成自控,2021-12-13,车身附件及饰件,850922.SI
603306.SH,华懋科技,2021-12-13,车身附件及饰件,850922.SI
603730.SH,岱美股份,2021-12-13,车身附件及饰件,850922.SI
603997.SH,继峰股份,2021-12-13,车身附件及饰件,850922.SI
605068.SH,明新旭腾,2021-12-13,车身附件及饰件,850922.SI
605128.SH,上海沿浦,2021-12-13,车身附件及饰件,850922.SI
605228.SH,神通科技,2021-12-13,车身附件及饰件,850922.SI
603266.SH,天龙股份,2022-02-23,车身附件及饰件,850922.SI
300893.SZ,松原安全,2022-08-01,车身附件及饰件,850922.SI
601799.SH,星宇股份,2022-08-01,车身附件及饰件,850922.SI
605151.SH,西上海,2022-08-01,车身附件及饰件,850922.SI
001319.SZ,铭科精技,2022-12-07,车身附件及饰件,850922.SI
301398.SZ,星源卓镁,2022-12-15,车身附件及饰件,850922.SI
001260.SZ,坤泰股份,2023-02-16,车身附件及饰件,850922.SI
001278.SZ,一彬科技,2023-03-08,车身附件及饰件,850922.SI
301529.SZ,福赛科技,2023-09-11,车身附件及饰件,850922.SI
301552.SZ,科力装备,2024-07-22,车身附件及饰件,850922.SI
300446.SZ,航天智造,2024-07-31,车身附件及饰件,850922.SI
301173.SZ,毓恬冠佳,2025-03-03,车身附件及饰件,850922.SI
603409.SH,汇通控股,2025-03-04,车身附件及饰件,850922.SI
603418.SH,友升股份,2025-09-23,车身附件及饰件,850922.SI
000700.SZ,模塑科技,2021-12-13,车身附件及饰件,850922.SI
