股票代码,股票简称,纳入时间,申万3级,l3_index_code
000058.SZ,深赛格,2021-12-13,商业物业经营,852034.SI
000061.SZ,农产品,2021-12-13,商业物业经营,852034.SI
000785.SZ,居然智家,2021-12-13,商业物业经营,852034.SI
002344.SZ,海宁皮城,2021-12-13,商业物业经营,852034.SI
002818.SZ,富森美,2021-12-13,商业物业经营,852034.SI
300947.SZ,德必集团,2021-12-13,商业物业经营,852034.SI
600113.SH,浙江东日,2021-12-13,商业物业经营,852034.SI
600415.SH,小商品城,2021-12-13,商业物业经营,852034.SI
600605.SH,汇通能源,2021-12-13,商业物业经营,852034.SI
600655.SH,豫园股份,2021-12-13,商业物业经营,852034.SI
600790.SH,轻纺城,2021-12-13,商业物业经营,852034.SI
601828.SH,美凯龙,2021-12-13,商业物业经营,852034.SI
603682.SH,锦和商管,2021-12-13,商业物业经营,852034.SI
000882.SZ,华联股份,2026-07-02,商业物业经营,852034.SI
002177.SZ,御银股份,2026-07-02,商业物业经营,852034.SI
600738.SH,丽尚国潮,2026-07-02,商业物业经营,852034.SI
000007.SZ,全新好,2021-12-13,商业物业经营,852034.SI
