股票代码,股票简称,纳入时间,申万3级,l3_index_code
002200.SZ,交投生态,2021-12-13,园林工程,857251.SI
002431.SZ,ST棕榈,2021-12-13,园林工程,857251.SI
002663.SZ,普邦股份,2021-12-13,园林工程,857251.SI
002717.SZ,*ST岭南,2021-12-13,园林工程,857251.SI
002775.SZ,文科股份,2021-12-13,园林工程,857251.SI
300197.SZ,节能铁汉,2021-12-13,园林工程,857251.SI
300355.SZ,蒙草生态,2021-12-13,园林工程,857251.SI
300649.SZ,杭州园林,2021-12-13,园林工程,857251.SI
300948.SZ,冠中生态,2021-12-13,园林工程,857251.SI
300949.SZ,奥雅股份,2021-12-13,园林工程,857251.SI
301098.SZ,金埔园林,2021-12-13,园林工程,857251.SI
603359.SH,*ST东珠,2021-12-13,园林工程,857251.SI
603955.SH,大千生态,2021-12-13,园林工程,857251.SI
605303.SH,园林股份,2021-12-13,园林工程,857251.SI
000010.SZ,*ST美丽,2021-12-13,园林工程,857251.SI
