股票代码,股票简称,纳入时间,申万3级,l3_index_code
000682.SZ,东方电子,2021-12-13,电网自动化设备,857321.SI
002090.SZ,金智科技,2021-12-13,电网自动化设备,857321.SI
002169.SZ,智光电气,2021-12-13,电网自动化设备,857321.SI
002339.SZ,积成电子,2021-12-13,电网自动化设备,857321.SI
300018.SZ,中元股份,2021-12-13,电网自动化设备,857321.SI
300222.SZ,科大智能,2021-12-13,电网自动化设备,857321.SI
300407.SZ,凯发电气,2021-12-13,电网自动化设备,857321.SI
300427.SZ,红相股份,2021-12-13,电网自动化设备,857321.SI
300510.SZ,金冠股份,2021-12-13,电网自动化设备,857321.SI
301179.SZ,泽宇智能,2021-12-13,电网自动化设备,857321.SI
600268.SH,国电南自,2021-12-13,电网自动化设备,857321.SI
600406.SH,国电南瑞,2021-12-13,电网自动化设备,857321.SI
600885.SH,宏发股份,2021-12-13,电网自动化设备,857321.SI
601126.SH,四方股份,2021-12-13,电网自动化设备,857321.SI
603050.SH,科林电气,2021-12-13,电网自动化设备,857321.SI
688191.SH,智洋创新,2021-12-13,电网自动化设备,857321.SI
688248.SH,南网科技,2021-12-13,电网自动化设备,857321.SI
688330.SH,宏力达,2021-12-13,电网自动化设备,857321.SI
688611.SH,杭州柯林,2021-12-13,电网自动化设备,857321.SI
688681.SH,科汇股份,2021-12-13,电网自动化设备,857321.SI
300853.SZ,申昊科技,2022-08-01,电网自动化设备,857321.SI
688663.SH,新风光,2022-08-01,电网自动化设备,857321.SI
001388.SZ,信通电子,2025-07-01,电网自动化设备,857321.SI
301609.SZ,山大电力,2025-07-23,电网自动化设备,857321.SI
688450.SH,光格科技,2026-07-02,电网自动化设备,857321.SI
000400.SZ,许继电气,2021-12-13,电网自动化设备,857321.SI
