股票代码,股票简称,纳入时间,申万3级,l3_index_code
003022.SZ,联泓新科,2021-12-13,光伏辅材,857354.SI
300842.SZ,帝科股份,2021-12-13,光伏辅材,857354.SI
600207.SH,安彩高科,2021-12-13,光伏辅材,857354.SI
601865.SH,福莱特,2021-12-13,光伏辅材,857354.SI
603212.SH,赛伍技术,2021-12-13,光伏辅材,857354.SI
603628.SH,清源股份,2021-12-13,光伏辅材,857354.SI
603806.SH,福斯特,2021-12-13,光伏辅材,857354.SI
688408.SH,中信博,2021-12-13,光伏辅材,857354.SI
688560.SH,明冠新材,2021-12-13,光伏辅材,857354.SI
688680.SH,海优新材,2021-12-13,光伏辅材,857354.SI
301266.SZ,宇邦新材,2022-06-08,光伏辅材,857354.SI
001269.SZ,欧晶科技,2022-09-30,光伏辅材,857354.SI
688503.SH,聚和材料,2023-07-06,光伏辅材,857354.SI
603381.SH,永臻股份,2024-06-26,光伏辅材,857354.SI
000159.SZ,国际实业,2024-07-31,光伏辅材,857354.SI
002079.SZ,苏州固锝,2026-07-02,光伏辅材,857354.SI
301697.SZ,贝特利,2026-09-01,光伏辅材,857354.SI
002623.SZ,亚玛顿,2021-12-13,光伏辅材,857354.SI
