股票代码,股票简称,纳入时间,申万3级,l3_index_code
002364.SZ,中恒电气,2021-12-13,其他电源设备Ⅲ,857336.SI
002366.SZ,融发核电,2021-12-13,其他电源设备Ⅲ,857336.SI
002518.SZ,科士达,2021-12-13,其他电源设备Ⅲ,857336.SI
002851.SZ,麦格米特,2021-12-13,其他电源设备Ⅲ,857336.SI
300153.SZ,科泰电源,2021-12-13,其他电源设备Ⅲ,857336.SI
300376.SZ,易事特,2021-12-13,其他电源设备Ⅲ,857336.SI
300491.SZ,通合科技,2021-12-13,其他电源设备Ⅲ,857336.SI
300593.SZ,新雷能,2021-12-13,其他电源设备Ⅲ,857336.SI
300693.SZ,盛弘股份,2021-12-13,其他电源设备Ⅲ,857336.SI
300713.SZ,英可瑞,2021-12-13,其他电源设备Ⅲ,857336.SI
300820.SZ,英杰电气,2021-12-13,其他电源设备Ⅲ,857336.SI
300870.SZ,欧陆通,2021-12-13,其他电源设备Ⅲ,857336.SI
600405.SH,动力源,2021-12-13,其他电源设备Ⅲ,857336.SI
688551.SH,科威尔,2021-12-13,其他电源设备Ⅲ,857336.SI
002227.SZ,*ST特迅,2022-08-01,其他电源设备Ⅲ,857336.SI
600482.SH,中国动力,2022-08-01,其他电源设备Ⅲ,857336.SI
301157.SZ,华塑科技,2023-03-13,其他电源设备Ⅲ,857336.SI
600212.SH,绿能慧充,2023-07-06,其他电源设备Ⅲ,857336.SI
688719.SH,爱科赛博,2023-09-28,其他电源设备Ⅲ,857336.SI
301516.SZ,中远通,2023-12-08,其他电源设备Ⅲ,857336.SI
688411.SH,海博思创,2025-01-27,其他电源设备Ⅲ,857336.SI
301590.SZ,优优绿能,2025-06-05,其他电源设备Ⅲ,857336.SI
002951.SZ,金时科技,2025-08-13,其他电源设备Ⅲ,857336.SI
301669.SZ,高特电子,2026-06-09,其他电源设备Ⅲ,857336.SI
002052.SZ,同洲电子,2026-07-02,其他电源设备Ⅲ,857336.SI
600590.SH,泰豪科技,2026-07-02,其他电源设备Ⅲ,857336.SI
002335.SZ,科华数据,2021-12-13,其他电源设备Ⅲ,857336.SI
