股票代码,股票简称,纳入时间,申万3级,l3_index_code
000837.SZ,秦川机床,2021-12-13,机床工具,850711.SI
002248.SZ,华东数控,2021-12-13,机床工具,850711.SI
002520.SZ,日发精机,2021-12-13,机床工具,850711.SI
002559.SZ,亚威股份,2021-12-13,机床工具,850711.SI
002903.SZ,宇环数控,2021-12-13,机床工具,850711.SI
002943.SZ,宇晶股份,2021-12-13,机床工具,850711.SI
003025.SZ,思进智能,2021-12-13,机床工具,850711.SI
300161.SZ,华中数控,2021-12-13,机床工具,850711.SI
300809.SZ,华辰装备,2021-12-13,机床工具,850711.SI
601882.SH,海天精工,2021-12-13,机床工具,850711.SI
603088.SH,宁波精达,2021-12-13,机床工具,850711.SI
688305.SH,科德数控,2021-12-13,机床工具,850711.SI
688558.SH,国盛智科,2021-12-13,机床工具,850711.SI
688577.SH,浙海德曼,2021-12-13,机床工具,850711.SI
688697.SH,纽威数控,2021-12-13,机床工具,850711.SI
002122.SZ,ST汇洲,2022-08-01,机床工具,850711.SI
301603.SZ,乔锋智能,2024-07-10,机床工具,850711.SI
000410.SZ,沈阳机床,2021-12-13,机床工具,850711.SI
