股票代码,股票简称,纳入时间,申万3级,l3_index_code
000686.SZ,东北证券,2021-12-13,证券Ⅲ,851931.SI
000712.SZ,锦龙股份,2021-12-13,证券Ⅲ,851931.SI
000728.SZ,国元证券,2021-12-13,证券Ⅲ,851931.SI
000750.SZ,国海证券,2021-12-13,证券Ⅲ,851931.SI
000776.SZ,广发证券,2021-12-13,证券Ⅲ,851931.SI
000783.SZ,长江证券,2021-12-13,证券Ⅲ,851931.SI
002500.SZ,山西证券,2021-12-13,证券Ⅲ,851931.SI
002670.SZ,国盛证券,2021-12-13,证券Ⅲ,851931.SI
002673.SZ,西部证券,2021-12-13,证券Ⅲ,851931.SI
002736.SZ,国信证券,2021-12-13,证券Ⅲ,851931.SI
002797.SZ,第一创业,2021-12-13,证券Ⅲ,851931.SI
002926.SZ,华西证券,2021-12-13,证券Ⅲ,851931.SI
002939.SZ,长城证券,2021-12-13,证券Ⅲ,851931.SI
002945.SZ,华林证券,2021-12-13,证券Ⅲ,851931.SI
300059.SZ,东方财富,2021-12-13,证券Ⅲ,851931.SI
600030.SH,中信证券,2021-12-13,证券Ⅲ,851931.SI
600095.SH,湘财股份,2021-12-13,证券Ⅲ,851931.SI
600109.SH,国金证券,2021-12-13,证券Ⅲ,851931.SI
600155.SH,华创云信,2021-12-13,证券Ⅲ,851931.SI
600369.SH,西南证券,2021-12-13,证券Ⅲ,851931.SI
600621.SH,华鑫股份,2021-12-13,证券Ⅲ,851931.SI
600864.SH,哈投股份,2021-12-13,证券Ⅲ,851931.SI
600906.SH,财达证券,2021-12-13,证券Ⅲ,851931.SI
600909.SH,华安证券,2021-12-13,证券Ⅲ,851931.SI
600918.SH,中泰证券,2021-12-13,证券Ⅲ,851931.SI
600958.SH,东方证券,2021-12-13,证券Ⅲ,851931.SI
600999.SH,招商证券,2021-12-13,证券Ⅲ,851931.SI
601066.SH,中信建投,2021-12-13,证券Ⅲ,851931.SI
601099.SH,太平洋,2021-12-13,证券Ⅲ,851931.SI
601108.SH,财通证券,2021-12-13,证券Ⅲ,851931.SI
601162.SH,天风证券,2021-12-13,证券Ⅲ,851931.SI
601198.SH,东兴证券,2021-12-13,证券Ⅲ,851931.SI
601211.SH,国泰海通,2021-12-13,证券Ⅲ,851931.SI
601236.SH,红塔证券,2021-12-13,证券Ⅲ,851931.SI
601375.SH,中原证券,2021-12-13,证券Ⅲ,851931.SI
601377.SH,兴业证券,2021-12-13,证券Ⅲ,851931.SI
601456.SH,国联民生,2021-12-13,证券Ⅲ,851931.SI
601555.SH,东吴证券,2021-12-13,证券Ⅲ,851931.SI
601688.SH,华泰证券,2021-12-13,证券Ⅲ,851931.SI
601696.SH,中银证券,2021-12-13,证券Ⅲ,851931.SI
601788.SH,光大证券,2021-12-13,证券Ⅲ,851931.SI
601878.SH,浙商证券,2021-12-13,证券Ⅲ,851931.SI
601881.SH,中国银河,2021-12-13,证券Ⅲ,851931.SI
601901.SH,方正证券,2021-12-13,证券Ⅲ,851931.SI
601990.SH,南京证券,2021-12-13,证券Ⅲ,851931.SI
601995.SH,中金公司,2021-12-13,证券Ⅲ,851931.SI
601136.SH,首创证券,2022-12-22,证券Ⅲ,851931.SI
601059.SH,信达证券,2023-02-01,证券Ⅲ,851931.SI
600061.SH,国投资本,2025-08-13,证券Ⅲ,851931.SI
000166.SZ,申万宏源,2021-12-13,证券Ⅲ,851931.SI
