股票代码,股票简称,纳入时间,申万3级,l3_index_code
300224.SZ,正海磁材,2011-01-24,磁性材料,850522.SI
301141.SZ,中科磁业,2023-03-17,磁性材料,850522.SI
000970.SZ,中科三环,2010-01-04,磁性材料,850522.SI
600366.SH,宁波韵升,2010-01-04,磁性材料,850522.SI
300811.SZ,铂科新材,2019-12-23,磁性材料,850522.SI
300127.SZ,银河磁体,2010-02-01,磁性材料,850522.SI
300835.SZ,龙磁科技,2020-05-18,磁性材料,850522.SI
688786.SH,悦安新材,2022-07-29,磁性材料,850522.SI
301531.SZ,春光集团,2026-04-17,磁性材料,850522.SI
300748.SZ,金力永磁,2018-09-18,磁性材料,850522.SI
301622.SZ,英思特,2024-11-15,磁性材料,850522.SI
000795.SZ,英洛华,2008-01-02,磁性材料,850522.SI
603072.SH,天和磁材,2024-12-20,磁性材料,850522.SI
688077.SH,大地熊,2020-07-06,磁性材料,850522.SI
301323.SZ,新莱福,2023-05-26,磁性材料,850522.SI
